sample,fastq_1,fastq_2,condition,replicate,time,group,reference_group
sample1A1,input/fastq/1A1_S1_L001_R1_001.fastq.gz,,lowCO2_air,1,0,1,1
sample1A2,input/fastq/1A2_S2_L001_R1_001.fastq.gz,,lowCO2_air,1,3.8,2,1
sample1A3,input/fastq/1A3_S3_L001_R1_001.fastq.gz,,lowCO2_air,1,7.3,3,1
sample1A4,input/fastq/1A4_S4_L001_R1_001.fastq.gz,,lowCO2_air,2,0,1,1
sample1A5,input/fastq/1A5_S5_L001_R1_001.fastq.gz,,lowCO2_air,2,3.8,2,1
sample1A6,input/fastq/1A6_S6_L001_R1_001.fastq.gz,,lowCO2_air,2,7.3,3,1
sample1B1,input/fastq/1B1_S7_L001_R1_001.fastq.gz,,lowCO2_air,3,7.3,3,1
sample1B2,input/fastq/1B2_S8_L001_R1_001.fastq.gz,,lowCO2_air,3,3.8,2,1
sample1B3,input/fastq/1B3_S9_L001_R1_001.fastq.gz,,lowCO2_air,3,0,1,1
sample1B4,input/fastq/1B4_S10_L001_R1_001.fastq.gz,,lowCO2_air,4,7.3,3,1
sample1B5,input/fastq/1B5_S11_L001_R1_001.fastq.gz,,lowCO2_air,4,3.8,2,1
sample1B6,input/fastq/1B6_S12_L001_R1_001.fastq.gz,,lowCO2_air,4,0,1,1
sample1C1,input/fastq/1C1_S13_L001_R1_001.fastq.gz,,lowCO2_air,5,3.8,2,1
sample1C2,input/fastq/1C2_S14_L001_R1_001.fastq.gz,,lowCO2_air,5,0,1,1
sample1C3,input/fastq/1C3_S15_L001_R1_001.fastq.gz,,lowCO2_air,5,7.3,3,1
sample1C4,input/fastq/1C4_S16_L001_R1_001.fastq.gz,,lowCO2_air,6,3.8,2,1
sample1C5,input/fastq/1C5_S17_L001_R1_001.fastq.gz,,lowCO2_air,6,0,1,1
sample1C6,input/fastq/1C6_S18_L001_R1_001.fastq.gz,,lowCO2_air,6,7.3,3,1
sample1D1,input/fastq/1D1_S19_L001_R1_001.fastq.gz,,lowCO2_air,7,7.3,3,1
sample1D2,input/fastq/1D2_S20_L001_R1_001.fastq.gz,,lowCO2_air,7,0,1,1
sample1D3,input/fastq/1D3_S21_L001_R1_001.fastq.gz,,lowCO2_air,7,3.8,2,1
sample1D4,input/fastq/1D4_S22_L001_R1_001.fastq.gz,,lowCO2_air,8,7.3,3,1
sample1D5,input/fastq/1D5_S23_L001_R1_001.fastq.gz,,lowCO2_air,8,0,1,1
sample1D6,input/fastq/1D6_S24_L001_R1_001.fastq.gz,,lowCO2_air,8,3.8,2,1
sample4A1,input/fastq/4A1_S25_L001_R1_001.fastq.gz,,highCO2_N2,1,0,4,4
sample4A2,input/fastq/4A2_S26_L001_R1_001.fastq.gz,,highCO2_N2,1,3.7,5,4
sample4A3,input/fastq/4A3_S27_L001_R1_001.fastq.gz,,highCO2_N2,1,8.6,6,4
sample4A4,input/fastq/4A4_S28_L001_R1_001.fastq.gz,,highCO2_N2,1,10.1,7,4
sample4A5,input/fastq/4A5_S29_L001_R1_001.fastq.gz,,highCO2_N2,2,0,4,4
sample4A6,input/fastq/4A6_S30_L001_R1_001.fastq.gz,,highCO2_N2,2,3.7,5,4
sample4A7,input/fastq/4A7_S31_L001_R1_001.fastq.gz,,highCO2_N2,2,8.6,6,4
sample4A8,input/fastq/4A8_S32_L001_R1_001.fastq.gz,,highCO2_N2,2,10.1,7,4
sample4B1,input/fastq/4B1_S33_L001_R1_001.fastq.gz,,highCO2_N2,3,10.1,7,4
sample4B2,input/fastq/4B2_S34_L001_R1_001.fastq.gz,,highCO2_N2,3,8.6,6,4
sample4B3,input/fastq/4B3_S35_L001_R1_001.fastq.gz,,highCO2_N2,3,3.7,5,4
sample4B4,input/fastq/4B4_S36_L001_R1_001.fastq.gz,,highCO2_N2,3,0,4,4
sample4B5,input/fastq/4B5_S37_L001_R1_001.fastq.gz,,highCO2_N2,4,10.1,7,4
sample4B6,input/fastq/4B6_S38_L001_R1_001.fastq.gz,,highCO2_N2,4,8.6,6,4
sample4B7,input/fastq/4B7_S39_L001_R1_001.fastq.gz,,highCO2_N2,4,3.7,5,4
sample4B8,input/fastq/4B8_S40_L001_R1_001.fastq.gz,,highCO2_N2,4,0,4,4
sample4C1,input/fastq/4C1_S41_L001_R1_001.fastq.gz,,highCO2_N2,5,3.7,5,4
sample4C2,input/fastq/4C2_S42_L001_R1_001.fastq.gz,,highCO2_N2,5,10.1,7,4
sample4C3,input/fastq/4C3_S43_L001_R1_001.fastq.gz,,highCO2_N2,5,0,4,4
sample4C4,input/fastq/4C4_S44_L001_R1_001.fastq.gz,,highCO2_N2,5,8.6,6,4
sample4C5,input/fastq/4C5_S45_L001_R1_001.fastq.gz,,highCO2_N2,6,3.7,5,4
sample4C6,input/fastq/4C6_S46_L001_R1_001.fastq.gz,,highCO2_N2,6,10.1,7,4
sample4C7,input/fastq/4C7_S47_L001_R1_001.fastq.gz,,highCO2_N2,6,0,4,4
sample4C8,input/fastq/4C8_S48_L001_R1_001.fastq.gz,,highCO2_N2,6,8.6,6,4
sample4D1,input/fastq/4D1_S49_L001_R1_001.fastq.gz,,highCO2_N2,7,8.6,6,4
sample4D2,input/fastq/4D2_S50_L001_R1_001.fastq.gz,,highCO2_N2,7,0,4,4
sample4D3,input/fastq/4D3_S51_L001_R1_001.fastq.gz,,highCO2_N2,7,10.1,7,4
sample4D4,input/fastq/4D4_S52_L001_R1_001.fastq.gz,,highCO2_N2,7,3.7,5,4
sample4D5,input/fastq/4D5_S53_L001_R1_001.fastq.gz,,highCO2_N2,8,3.7,5,4
sample4D6,input/fastq/4D6_S54_L001_R1_001.fastq.gz,,highCO2_N2,8,0,4,4
sample3A1,input/fastq/3A1_S55_L001_R1_001.fastq.gz,,LD_lowCO2_air,1,0,8,8
sample3A2,input/fastq/3A2_S56_L001_R1_001.fastq.gz,,LD_lowCO2_air,1,3.8,9,8
sample3A3,input/fastq/3A3_S57_L001_R1_001.fastq.gz,,LD_lowCO2_air,1,8.7,10,8
sample3A4,input/fastq/3A4_S58_L001_R1_001.fastq.gz,,LD_lowCO2_air,2,0,8,8
sample3A5,input/fastq/3A5_S59_L001_R1_001.fastq.gz,,LD_lowCO2_air,2,3.8,9,8
sample3A6,input/fastq/3A6_S60_L001_R1_001.fastq.gz,,LD_lowCO2_air,2,8.7,10,8
sample3B1,input/fastq/3B1_S61_L001_R1_001.fastq.gz,,LD_lowCO2_air,3,8.7,10,8
