Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
LD1A1 - Adapter 1	(6, 22)	(7, 26)	(8, 137)	(9, 97)	(10, 1545)	(11, 6387)	(12, 85996)	(13, 145677)	(14, 385095)	(15, 540755)	(16, 219931)	(17, 3538)	(18, 77)	(19, 25)	(20, 65)	(21, 32)	(22, 28)	(23, 10)	(25, 3)	(26, 1)	(28, 4)	(29, 11)	(30, 7)	(31, 33)	(32, 22)	(33, 26)	(34, 15)	(35, 2)	(36, 8)	(37, 15)	(38, 47)	(39, 19)	(40, 225)	(41, 1231)	(42, 130)	(43, 659)	(44, 115)	(45, 1139)	(46, 4)	(47, 14)	(48, 27)	(49, 3)	(50, 6)	(52, 8)	(61, 1)	(65, 1)	(66, 1)							
LD1A2 - Adapter 1	(6, 25)	(7, 25)	(8, 98)	(9, 105)	(10, 1516)	(11, 8303)	(12, 115185)	(13, 189910)	(14, 441994)	(15, 570697)	(16, 310268)	(17, 4983)	(18, 69)	(19, 15)	(20, 71)	(21, 9)	(22, 24)	(23, 9)	(24, 1)	(25, 3)	(26, 4)	(27, 1)	(28, 2)	(29, 2)	(30, 1)	(31, 1)	(33, 4)	(34, 1)	(36, 1)	(37, 6)	(38, 2)	(39, 2)	(40, 9)	(41, 107)	(42, 10)	(43, 96)	(44, 18)	(45, 136)	(47, 1)	(48, 2)	(49, 2)	(50, 1)	(52, 2)	(58, 2)	(59, 1)	(60, 2)	(61, 1)							
LD1A3 - Adapter 1	(6, 19)	(7, 22)	(8, 83)	(9, 89)	(10, 1268)	(11, 6178)	(12, 88212)	(13, 163916)	(14, 395190)	(15, 477202)	(16, 279640)	(17, 4276)	(18, 61)	(19, 24)	(20, 59)	(21, 12)	(22, 17)	(23, 5)	(25, 3)	(29, 5)	(30, 3)	(31, 1)	(32, 1)	(34, 1)	(35, 4)	(36, 1)	(37, 2)	(38, 16)	(39, 12)	(40, 8)	(41, 38)	(42, 46)	(43, 90)	(44, 30)	(45, 130)	(47, 3)	(48, 10)	(49, 4)	(54, 1)	(58, 1)	(60, 1)	(61, 2)												
LD1A4 - Adapter 1	(6, 23)	(7, 22)	(8, 109)	(9, 115)	(10, 1759)	(11, 8207)	(12, 107708)	(13, 213364)	(14, 570102)	(15, 551404)	(16, 377188)	(17, 5628)	(18, 80)	(19, 15)	(20, 53)	(21, 6)	(22, 19)	(23, 10)	(24, 1)	(25, 2)	(26, 1)	(27, 1)	(28, 1)	(29, 1)	(30, 2)	(31, 2)	(32, 3)	(33, 1)	(34, 3)	(35, 1)	(38, 5)	(39, 12)	(40, 4)	(41, 14)	(42, 83)	(43, 99)	(44, 9)	(45, 123)	(47, 2)	(48, 1)	(49, 1)	(54, 1)	(58, 1)	(59, 1)										
LD1A5 - Adapter 1	(6, 23)	(7, 36)	(8, 93)	(9, 104)	(10, 1577)	(11, 7140)	(12, 98062)	(13, 192440)	(14, 473315)	(15, 553048)	(16, 324418)	(17, 4080)	(18, 56)	(19, 15)	(20, 91)	(21, 10)	(22, 29)	(23, 11)	(24, 1)	(25, 1)	(26, 2)	(27, 2)	(29, 3)	(36, 2)	(37, 2)	(38, 1)	(39, 17)	(40, 11)	(41, 47)	(42, 26)	(43, 47)	(44, 29)	(45, 74)	(47, 2)	(48, 2)	(49, 1)	(50, 1)	(52, 1)	(62, 1)	(88, 1)														
LD1A6 - Adapter 1	(6, 28)	(7, 22)	(8, 101)	(9, 112)	(10, 1617)	(11, 6877)	(12, 97350)	(13, 189318)	(14, 452609)	(15, 535902)	(16, 282875)	(17, 4690)	(18, 91)	(19, 22)	(20, 82)	(21, 5)	(22, 20)	(23, 4)	(25, 2)	(27, 2)	(28, 1)	(29, 2)	(30, 2)	(31, 2)	(33, 2)	(37, 3)	(39, 4)	(40, 3)	(41, 15)	(42, 64)	(43, 66)	(44, 2)	(45, 90)	(47, 4)	(49, 2)	(54, 1)	(59, 1)	(60, 3)	(66, 1)	(88, 1)														
LD1A7 - Adapter 1	(6, 23)	(7, 25)	(8, 55)	(9, 94)	(10, 1287)	(11, 7388)	(12, 100799)	(13, 160567)	(14, 375143)	(15, 456606)	(16, 268258)	(17, 4245)	(18, 78)	(19, 13)	(20, 37)	(21, 11)	(22, 15)	(23, 10)	(25, 4)	(26, 3)	(27, 1)	(28, 2)	(29, 6)	(30, 2)	(32, 1)	(33, 1)	(34, 3)	(35, 1)	(36, 1)	(37, 1)	(38, 8)	(39, 25)	(40, 12)	(41, 166)	(42, 17)	(43, 154)	(44, 32)	(45, 242)	(47, 1)	(48, 6)	(49, 1)	(50, 1)	(52, 3)	(54, 1)	(57, 1)	(59, 1)	(60, 2)	(61, 2)	(63, 2)					
LD1B1 - Adapter 1	(6, 16)	(7, 33)	(8, 114)	(9, 78)	(10, 1401)	(11, 5560)	(12, 88539)	(13, 131678)	(14, 364628)	(15, 416048)	(16, 161523)	(17, 3087)	(18, 61)	(19, 12)	(20, 54)	(21, 6)	(22, 16)	(23, 4)	(24, 3)	(27, 1)	(28, 2)	(29, 6)	(31, 4)	(32, 2)	(33, 2)	(34, 1)	(38, 3)	(39, 1)	(40, 18)	(41, 82)	(42, 9)	(43, 39)	(44, 11)	(45, 89)	(46, 1)	(47, 1)	(48, 2)	(52, 3)	(56, 1)	(58, 1)	(59, 4)	(60, 2)												
LD1B2 - Adapter 1	(6, 16)	(7, 29)	(8, 97)	(9, 83)	(10, 1283)	(11, 7013)	(12, 101666)	(13, 162558)	(14, 383824)	(15, 465680)	(16, 255360)	(17, 4148)	(18, 53)	(19, 18)	(20, 65)	(21, 9)	(22, 17)	(23, 4)	(24, 1)	(26, 1)	(29, 2)	(30, 2)	(31, 1)	(32, 1)	(33, 1)	(34, 2)	(35, 1)	(36, 3)	(37, 14)	(38, 4)	(39, 2)	(40, 4)	(41, 121)	(42, 16)	(43, 110)	(44, 25)	(45, 133)	(47, 2)	(48, 2)	(50, 1)	(52, 1)	(57, 2)	(58, 1)	(61, 2)										
LD1B3 - Adapter 1	(6, 24)	(7, 21)	(8, 91)	(9, 76)	(10, 1261)	(11, 6505)	(12, 88781)	(13, 164713)	(14, 398976)	(15, 475110)	(16, 284723)	(17, 4356)	(18, 51)	(19, 20)	(20, 56)	(21, 15)	(22, 14)	(23, 4)	(27, 1)	(28, 1)	(29, 3)	(30, 2)	(32, 2)	(34, 1)	(35, 2)	(36, 1)	(37, 1)	(38, 15)	(39, 8)	(40, 3)	(41, 34)	(42, 33)	(43, 56)	(44, 24)	(45, 86)	(47, 3)	(48, 3)	(49, 2)	(50, 1)	(54, 1)	(58, 1)	(59, 2)	(61, 1)	(66, 1)										
LD1B4 - Adapter 1	(6, 16)	(7, 21)	(8, 104)	(9, 113)	(10, 1639)	(11, 7474)	(12, 102729)	(13, 197086)	(14, 528397)	(15, 506844)	(16, 342995)	(17, 4390)	(18, 77)	(19, 13)	(20, 65)	(21, 9)	(22, 32)	(23, 12)	(25, 2)	(28, 1)	(31, 2)	(32, 1)	(34, 1)	(35, 1)	(38, 8)	(39, 3)	(40, 3)	(41, 9)	(42, 39)	(43, 48)	(44, 8)	(45, 64)	(46, 1)	(47, 4)	(49, 1)	(55, 1)	(57, 1)	(61, 1)																
LD1B5 - Adapter 1	(6, 31)	(7, 42)	(8, 98)	(9, 95)	(10, 1496)	(11, 6485)	(12, 88715)	(13, 170308)	(14, 427801)	(15, 483181)	(16, 286172)	(17, 4201)	(18, 70)	(19, 7)	(20, 58)	(21, 9)	(22, 15)	(23, 5)	(26, 3)	(27, 1)	(28, 3)	(29, 2)	(31, 1)	(36, 1)	(37, 4)	(38, 1)	(39, 19)	(40, 8)	(41, 40)	(42, 20)	(43, 35)	(44, 23)	(45, 66)	(48, 5)	(49, 2)	(52, 1)	(65, 1)	(88, 1)	(93, 1)															
LD1B6 - Adapter 1	(6, 24)	(7, 21)	(8, 101)	(9, 130)	(10, 1520)	(11, 6266)	(12, 87513)	(13, 169577)	(14, 409019)	(15, 475131)	(16, 252562)	(17, 4360)	(18, 59)	(19, 22)	(20, 57)	(21, 11)	(22, 18)	(23, 4)	(24, 1)	(25, 1)	(26, 4)	(27, 2)	(29, 4)	(30, 2)	(31, 5)	(32, 1)	(35, 1)	(36, 1)	(37, 4)	(38, 6)	(39, 2)	(41, 11)	(42, 57)	(43, 76)	(44, 11)	(45, 83)	(46, 1)	(47, 2)	(48, 2)	(49, 1)	(56, 1)	(59, 1)	(60, 1)	(61, 1)	(80, 1)	(88, 1)								
LD1B7 - Adapter 1	(6, 24)	(7, 28)	(8, 79)	(9, 98)	(10, 1419)	(11, 7918)	(12, 107866)	(13, 173742)	(14, 410756)	(15, 502350)	(16, 298245)	(17, 4456)	(18, 87)	(19, 16)	(20, 56)	(21, 10)	(22, 15)	(23, 8)	(27, 1)	(29, 1)	(31, 2)	(34, 1)	(35, 1)	(37, 1)	(38, 5)	(39, 12)	(40, 4)	(41, 93)	(42, 12)	(43, 67)	(44, 19)	(45, 116)	(46, 1)	(47, 2)	(48, 3)	(50, 1)	(52, 3)	(57, 1)	(59, 2)	(61, 4)	(68, 1)													
LD1C1 - Adapter 1	(6, 25)	(7, 38)	(8, 171)	(9, 128)	(10, 1992)	(11, 7886)	(12, 124091)	(13, 184516)	(14, 508060)	(15, 615322)	(16, 213500)	(17, 4385)	(18, 87)	(19, 19)	(20, 63)	(21, 7)	(22, 18)	(23, 1)	(25, 2)	(26, 1)	(27, 2)	(28, 1)	(29, 8)	(30, 1)	(31, 1)	(32, 2)	(33, 3)	(36, 1)	(38, 4)	(39, 1)	(40, 15)	(41, 92)	(42, 9)	(43, 46)	(44, 8)	(45, 79)	(46, 3)	(47, 3)	(48, 2)	(50, 1)	(52, 3)	(56, 1)	(57, 1)	(59, 1)	(62, 1)	(64, 1)	(67, 1)	(68, 1)						
LD1C10 - Adapter 1	(6, 18)	(7, 27)	(8, 97)	(9, 97)	(10, 1872)	(11, 9163)	(12, 130412)	(13, 232483)	(14, 608222)	(15, 658565)	(16, 377792)	(17, 5319)	(18, 66)	(19, 23)	(20, 47)	(21, 6)	(22, 11)	(23, 7)	(27, 2)	(28, 6)	(29, 1)	(30, 1)	(31, 3)	(33, 1)	(37, 1)	(38, 2)	(39, 3)	(40, 18)	(41, 7)	(42, 19)	(43, 56)	(44, 5)	(45, 64)	(48, 1)	(50, 1)	(52, 1)	(54, 1)	(58, 1)	(62, 1)															
LD1C2 - Adapter 1	(6, 18)	(7, 20)	(8, 103)	(9, 94)	(10, 1422)	(11, 7576)	(12, 108931)	(13, 176818)	(14, 410604)	(15, 505711)	(16, 272215)	(17, 4379)	(18, 58)	(19, 26)	(20, 66)	(21, 5)	(22, 13)	(23, 8)	(24, 1)	(25, 5)	(26, 2)	(28, 3)	(29, 2)	(30, 2)	(31, 1)	(34, 2)	(35, 1)	(36, 3)	(37, 5)	(38, 1)	(40, 9)	(41, 91)	(42, 16)	(43, 69)	(44, 13)	(45, 119)	(47, 3)	(48, 6)	(50, 1)	(51, 2)	(60, 2)	(61, 1)	(62, 1)											
LD1C3 - Adapter 1	(6, 22)	(7, 24)	(8, 126)	(9, 130)	(10, 1703)	(11, 8360)	(12, 117053)	(13, 220500)	(14, 522132)	(15, 627453)	(16, 372617)	(17, 5592)	(18, 89)	(19, 21)	(20, 76)	(21, 13)	(22, 20)	(23, 6)	(24, 1)	(25, 1)	(26, 2)	(27, 1)	(29, 4)	(30, 2)	(33, 1)	(35, 2)	(36, 1)	(37, 1)	(38, 14)	(39, 15)	(40, 9)	(41, 44)	(42, 53)	(43, 57)	(44, 30)	(45, 127)	(47, 3)	(49, 2)	(51, 1)	(52, 1)	(57, 2)	(58, 2)	(59, 2)	(60, 1)	(61, 3)	(62, 3)								
LD1C4 - Adapter 1	(6, 26)	(7, 23)	(8, 111)	(9, 122)	(10, 1708)	(11, 7552)	(12, 101138)	(13, 196211)	(14, 524550)	(15, 500880)	(16, 342754)	(17, 4962)	(18, 84)	(19, 12)	(20, 39)	(21, 9)	(22, 16)	(23, 6)	(26, 1)	(27, 1)	(28, 1)	(29, 2)	(31, 2)	(34, 2)	(38, 6)	(39, 2)	(40, 3)	(41, 8)	(42, 37)	(43, 44)	(44, 4)	(45, 56)	(46, 1)	(47, 1)	(48, 5)	(49, 2)	(50, 1)	(53, 1)	(54, 1)	(60, 1)	(61, 2)	(67, 1)												
