Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
LD1A1 - Adapter 1	(6, 0.022659388196518696)	(7, 0.10712814173877215)	(8, 2.257001647446458)	(9, 6.381578947368421)	(10, 406.5789473684211)	(11, 7096.666666666666)	(12, 429980.0)	(13, 1456770.0)	(14, 3850950.0)	(15, 5407550.0)	(16, 2199310.0)	(17, 35380.0)	(18, 770.0)	(19, 250.0)	(20, 650.0)	(21, 320.0)	(22, 280.0)	(23, 100.0)	(25, 30.0)	(26, 10.0)	(28, 40.0)	(29, 110.0)	(30, 70.0)	(31, 330.0)	(32, 220.0)	(33, 260.0)	(34, 150.0)	(35, 20.0)	(36, 80.0)	(37, 150.0)	(38, 470.0)	(39, 190.0)	(40, 2250.0)	(41, 12310.0)	(42, 1300.0)	(43, 6590.0)	(44, 1150.0)	(45, 11390.0)	(46, 40.0)	(47, 140.0)	(48, 270.0)	(49, 30.0)	(50, 60.0)	(52, 80.0)	(61, 10.0)	(65, 10.0)	(66, 10.0)							
LD1A2 - Adapter 1	(6, 0.023403856955626287)	(7, 0.09363295880149813)	(8, 1.4670658682634732)	(9, 6.287425149700599)	(10, 360.95238095238096)	(11, 8303.0)	(12, 383950.0)	(13, 1899100.0)	(14, 4419940.0)	(15, 5706970.0)	(16, 3102680.0)	(17, 49830.0)	(18, 690.0)	(19, 150.0)	(20, 710.0)	(21, 90.0)	(22, 240.0)	(23, 90.0)	(24, 10.0)	(25, 30.0)	(26, 40.0)	(27, 10.0)	(28, 20.0)	(29, 20.0)	(30, 10.0)	(31, 10.0)	(33, 40.0)	(34, 10.0)	(36, 10.0)	(37, 60.0)	(38, 20.0)	(39, 20.0)	(40, 90.0)	(41, 1070.0)	(42, 100.0)	(43, 960.0)	(44, 180.0)	(45, 1360.0)	(47, 10.0)	(48, 20.0)	(49, 20.0)	(50, 10.0)	(52, 20.0)	(58, 20.0)	(59, 10.0)	(60, 20.0)	(61, 10.0)							
LD1A3 - Adapter 1	(6, 0.021578648495173196)	(7, 0.09995456610631531)	(8, 1.509090909090909)	(9, 6.44927536231884)	(10, 372.94117647058823)	(11, 6864.444444444444)	(12, 441060.0)	(13, 1639160.0)	(14, 3951900.0)	(15, 4772020.0)	(16, 2796400.0)	(17, 42760.0)	(18, 610.0)	(19, 240.0)	(20, 590.0)	(21, 120.0)	(22, 170.0)	(23, 50.0)	(25, 30.0)	(29, 50.0)	(30, 30.0)	(31, 10.0)	(32, 10.0)	(34, 10.0)	(35, 40.0)	(36, 10.0)	(37, 20.0)	(38, 160.0)	(39, 120.0)	(40, 80.0)	(41, 380.0)	(42, 460.0)	(43, 900.0)	(44, 300.0)	(45, 1300.0)	(47, 30.0)	(48, 100.0)	(49, 40.0)	(54, 10.0)	(58, 10.0)	(60, 10.0)	(61, 20.0)												
LD1A4 - Adapter 1	(6, 0.0215962441314554)	(7, 0.08264462809917356)	(8, 1.6366366366366367)	(9, 6.927710843373493)	(10, 418.8095238095238)	(11, 8207.0)	(12, 359026.6666666667)	(13, 2133640.0)	(14, 5701020.0)	(15, 5514040.0)	(16, 3771880.0)	(17, 56280.0)	(18, 800.0)	(19, 150.0)	(20, 530.0)	(21, 60.0)	(22, 190.0)	(23, 100.0)	(24, 10.0)	(25, 20.0)	(26, 10.0)	(27, 10.0)	(28, 10.0)	(29, 10.0)	(30, 20.0)	(31, 20.0)	(32, 30.0)	(33, 10.0)	(34, 30.0)	(35, 10.0)	(38, 50.0)	(39, 120.0)	(40, 40.0)	(41, 140.0)	(42, 830.0)	(43, 990.0)	(44, 90.0)	(45, 1230.0)	(47, 20.0)	(48, 10.0)	(49, 10.0)	(54, 10.0)	(58, 10.0)	(59, 10.0)										
LD1A5 - Adapter 1	(6, 0.02284465633690902)	(7, 0.1430274135876043)	(8, 1.478537360890302)	(9, 6.624203821656051)	(10, 404.35897435897436)	(11, 7140.0)	(12, 490310.0)	(13, 1924400.0)	(14, 4733150.0)	(15, 5530480.0)	(16, 3244180.0)	(17, 40800.0)	(18, 560.0)	(19, 150.0)	(20, 910.0)	(21, 100.0)	(22, 290.0)	(23, 110.0)	(24, 10.0)	(25, 10.0)	(26, 20.0)	(27, 20.0)	(29, 30.0)	(36, 20.0)	(37, 20.0)	(38, 10.0)	(39, 170.0)	(40, 110.0)	(41, 470.0)	(42, 260.0)	(43, 470.0)	(44, 290.0)	(45, 740.0)	(47, 20.0)	(48, 20.0)	(49, 10.0)	(50, 10.0)	(52, 10.0)	(62, 10.0)	(88, 10.0)														
LD1A6 - Adapter 1	(6, 0.027597082594125764)	(7, 0.08675078864353312)	(8, 1.5930599369085174)	(9, 7.044025157232705)	(10, 404.25)	(11, 6877.0)	(12, 486750.0)	(13, 1893180.0)	(14, 4526090.0)	(15, 5359020.0)	(16, 2828750.0)	(17, 46900.0)	(18, 910.0)	(19, 220.0)	(20, 820.0)	(21, 50.0)	(22, 200.0)	(23, 40.0)	(25, 20.0)	(27, 20.0)	(28, 10.0)	(29, 20.0)	(30, 20.0)	(31, 20.0)	(33, 20.0)	(37, 30.0)	(39, 40.0)	(40, 30.0)	(41, 150.0)	(42, 640.0)	(43, 660.0)	(44, 20.0)	(45, 900.0)	(47, 40.0)	(49, 20.0)	(54, 10.0)	(59, 10.0)	(60, 30.0)	(66, 10.0)	(88, 10.0)														
LD1A7 - Adapter 1	(6, 0.026623451788401437)	(7, 0.11574074074074074)	(8, 1.0185185185185186)	(9, 6.962962962962963)	(10, 378.5294117647059)	(11, 9235.0)	(12, 503995.0)	(13, 1605670.0)	(14, 3751430.0)	(15, 4566060.0)	(16, 2682580.0)	(17, 42450.0)	(18, 780.0)	(19, 130.0)	(20, 370.0)	(21, 110.0)	(22, 150.0)	(23, 100.0)	(25, 40.0)	(26, 30.0)	(27, 10.0)	(28, 20.0)	(29, 60.0)	(30, 20.0)	(32, 10.0)	(33, 10.0)	(34, 30.0)	(35, 10.0)	(36, 10.0)	(37, 10.0)	(38, 80.0)	(39, 250.0)	(40, 120.0)	(41, 1660.0)	(42, 170.0)	(43, 1540.0)	(44, 320.0)	(45, 2420.0)	(47, 10.0)	(48, 60.0)	(49, 10.0)	(50, 10.0)	(52, 30.0)	(54, 10.0)	(57, 10.0)	(59, 10.0)	(60, 20.0)	(61, 20.0)	(63, 20.0)					
LD1B1 - Adapter 1	(6, 0.020161290322580645)	(7, 0.1663306451612903)	(8, 2.2983870967741935)	(9, 6.290322580645161)	(10, 451.93548387096774)	(11, 6950.0)	(12, 442695.0)	(13, 131678.0)	(14, 364628.0)	(15, 416048.0)	(16, 161523.0)	(17, 3087.0)	(18, 61.0)	(19, 12.0)	(20, 54.0)	(21, 6.0)	(22, 16.0)	(23, 4.0)	(24, 3.0)	(27, 1.0)	(28, 2.0)	(29, 6.0)	(31, 4.0)	(32, 2.0)	(33, 2.0)	(34, 1.0)	(38, 3.0)	(39, 1.0)	(40, 18.0)	(41, 82.0)	(42, 9.0)	(43, 39.0)	(44, 11.0)	(45, 89.0)	(46, 1.0)	(47, 1.0)	(48, 2.0)	(52, 3.0)	(56, 1.0)	(58, 1.0)	(59, 4.0)	(60, 2.0)												
LD1B2 - Adapter 1	(6, 0.01800382581298526)	(7, 0.13051305130513052)	(8, 1.7477477477477477)	(9, 5.971223021582734)	(10, 366.57142857142856)	(11, 7792.222222222222)	(12, 508330.0)	(13, 1625580.0)	(14, 3838240.0)	(15, 4656800.0)	(16, 2553600.0)	(17, 41480.0)	(18, 530.0)	(19, 180.0)	(20, 650.0)	(21, 90.0)	(22, 170.0)	(23, 40.0)	(24, 10.0)	(26, 10.0)	(29, 20.0)	(30, 20.0)	(31, 10.0)	(32, 10.0)	(33, 10.0)	(34, 20.0)	(35, 10.0)	(36, 30.0)	(37, 140.0)	(38, 40.0)	(39, 20.0)	(40, 40.0)	(41, 1210.0)	(42, 160.0)	(43, 1100.0)	(44, 250.0)	(45, 1330.0)	(47, 20.0)	(48, 20.0)	(50, 10.0)	(52, 10.0)	(57, 20.0)	(58, 10.0)	(61, 20.0)										
LD1B3 - Adapter 1	(6, 0.02724177071509648)	(7, 0.09532455742169768)	(8, 1.6515426497277677)	(9, 5.507246376811594)	(10, 370.88235294117646)	(11, 7227.777777777777)	(12, 443905.0)	(13, 1647130.0)	(14, 3989760.0)	(15, 4751100.0)	(16, 2847230.0)	(17, 43560.0)	(18, 510.0)	(19, 200.0)	(20, 560.0)	(21, 150.0)	(22, 140.0)	(23, 40.0)	(27, 10.0)	(28, 10.0)	(29, 30.0)	(30, 20.0)	(32, 20.0)	(34, 10.0)	(35, 20.0)	(36, 10.0)	(37, 10.0)	(38, 150.0)	(39, 80.0)	(40, 30.0)	(41, 340.0)	(42, 330.0)	(43, 560.0)	(44, 240.0)	(45, 860.0)	(47, 30.0)	(48, 30.0)	(49, 20.0)	(50, 10.0)	(54, 10.0)	(58, 10.0)	(59, 20.0)	(61, 10.0)	(66, 10.0)										
