Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
LD1A1	(1, 0.0)	(2, 5.0292880590116544e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00025146642646593613)	(7, 0.00015088012146855645)	(8, 0.0)	(9, 0.10267428412788343)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0007836317244347846)	(26, 0.00033584658527984417)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 2.7988774262418828e-05)	(36, 0.0008676670587961987)	(38, 8.3976758592292e-05)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.4924911996781339)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.23508489098329238)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0025760949834843687)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
LD1A2	(1, 0.0)	(2, 0.0002971263538962293)	(3, 0.0)	(4, 0.0)	(5, 4.571177809674441e-05)	(6, 0.0007999665385425021)	(7, 0.00015999345398211138)	(8, 0.0)	(9, 0.11176728998834787)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0004667365060058487)	(26, 0.00016335995011453866)	(28, 4.667443484843994e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0008168392103358633)	(38, 9.336937391166324e-05)	(40, 9.338487244443542e-05)	(42, 0.0)	(44, 0.00011676233004367143)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 2.3429612640557173e-05)	(62, 0.526146700094975)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.22703790309424113)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0015974338822116153)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
LD1A3	(1, 0.0)	(2, 8.318653221135036e-05)	(3, 2.772885175934019e-05)	(4, 0.0)	(5, 2.7728859448234517e-05)	(6, 0.0006654968710555447)	(7, 5.545821099020913e-05)	(8, 0.0)	(9, 0.12505882062599843)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0005606681125107992)	(26, 0.0001783962180001784)	(28, 5.0970477899200785e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.00048424261778500795)	(38, 0.0)	(40, 2.5500914462792636e-05)	(42, 0.0)	(44, 0.00010202998865426525)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.5259957371618342)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.21356296344084702)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0026403732431616537)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
LD1A4	(1, 0.0)	(2, 0.0002521694597108854)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0004584929748560161)	(7, 4.584944463713947e-05)	(8, 0.0)	(9, 0.12452786242147089)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0004891782559449935)	(26, 8.153055683739709e-05)	(28, 2.0382676600096167e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0007745766021607426)	(38, 2.0389059964429246e-05)	(40, 2.039414541188832e-05)	(42, 0.0)	(44, 6.11983243898782e-05)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.51276425431617)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.21765545904500624)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0014979427118618678)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
LD1A5	(1, 0.0)	(2, 0.00012124789301473914)	(3, 2.4249578602947826e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0002667476932993222)	(7, 0.00014549909463188365)	(8, 0.0)	(9, 0.13366558964663977)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00045731884768954206)	(26, 0.00027023667327845727)	(28, 2.078748393907022e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0009978394696649525)	(38, 4.159243283913898e-05)	(40, 2.080368374988896e-05)	(42, 0.0)	(44, 0.00016647677909051653)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.508417375602102)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.20498567417800598)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.002701135045379069)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
LD1A6	(1, 0.0)	(2, 0.00021657240954131408)	(3, 2.40636126412895e-05)	(4, 0.0)	(5, 2.40636126412895e-05)	(6, 0.0006737847209689025)	(7, 0.00031282929795570865)	(8, 2.4063902173499772e-05)	(9, 0.11030895410796175)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0007787416589860131)	(26, 0.0002512099527373595)	(28, 7.536336446175234e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.001155642133807783)	(38, 5.025135728916038e-05)	(40, 2.512841878419664e-05)	(42, 0.0)	(44, 0.00017598866029638)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.5071867437970062)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.23531728201218743)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0018933558700056285)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
LD1A7	(1, 0.0)	(2, 0.00011303512594797615)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0003108481775112647)	(7, 5.651797822757925e-05)	(8, 0.0)	(9, 0.1312637463097084)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0005261435970237492)	(26, 0.0002152428788687217)	(28, 4.783191101159948e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0009088519549525137)	(38, 7.177617318155066e-05)	(40, 7.179920920350983e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.5018596959394136)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.20264011255381087)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0023899164644531792)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
LD1B1	(1, 0.0)	(2, 6.152857910206422e-05)	(3, 3.076428955103211e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0002461167393223791)	(7, 9.229403279083927e-05)	(8, 0.0)	(9, 0.1072769588351205)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0007334832084022502)	(26, 0.00020004427646652458)	(28, 6.668173673916972e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0008335778495025208)	(38, 6.669403345172636e-05)	(40, 3.3350764666332265e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.49248606119371335)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.2468261025642229)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0028180445025587845)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
LD1B2	(1, 0.0)	(2, 0.0001648315421639085)	(3, 0.0)	(4, 0.0)	(5, 2.7471931241052734e-05)	(6, 0.0005769148352825729)	(7, 0.0001098886306200823)	(8, 0.0)	(9, 0.11472432919508906)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0004743680789348483)	(26, 0.0002511396858465765)	(28, 2.7904479617730953e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.000669740776832327)	(38, 0.0)	(40, 8.374622548782875e-05)	(42, 0.0)	(44, 0.00016753697471224825)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.5058423019945256)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.22874491997292523)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0019163604482367088)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
LD1B3	(1, 0.0)	(2, 0.00011084118204361765)	(3, 2.7710295510904413e-05)	(4, 0.0)	(5, 2.7710318546737887e-05)	(6, 0.0008036041368432545)	(7, 8.313155457669689e-05)	(8, 0.0)	(9, 0.13367583609746364)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0007719309440869833)	(26, 0.00018011930588195032)	(28, 2.5731389000963384e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0007205156009640498)	(38, 2.5740038991011064e-05)	(40, 5.149396876890794e-05)	(42, 0.0)	(44, 0.00018027525971870363)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.5122829573353328)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.2086768635924262)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0019588307205202654)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
LD1B4	(1, 0.0)	(2, 0.00022458676036093587)	(3, 0.0)	(4, 0.0)	(5, 2.4954096938681297e-05)	(6, 0.0004990851768707958)	(7, 2.4954358478343112e-05)	(8, 0.0)	(9, 0.11848356015648415)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0007091817301060226)	(26, 0.00016013978830892612)	(28, 9.150891102336931e-05)	(30, 0.0)	(32, 0.0)	(34, 2.2877735433631462e-05)	(36, 0.0005948318719153106)	(38, 4.576925066125125e-05)	(40, 2.2890665255380852e-05)	(42, 0.0)	(44, 0.0001373774507278601)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 2.2966800800438944e-05)	(62, 0.5265728158506595)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.2206483472397933)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0008463589254319316)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
LD1B5	(1, 0.0)	(2, 0.00019225197092600908)	(3, 0.0)	(4, 0.0)	(5, 2.7464597447275524e-05)	(6, 0.0004394381453732794)	(7, 0.00010985995876406447)	(8, 0.0)	(9, 0.13144823491057483)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0007477005194106673)	(26, 0.00016883763728610382)	(28, 2.4119738098235835e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0008201207458949941)	(38, 4.826229204381636e-05)	(40, 7.242120753673022e-05)	(42, 0.0)	(44, 0.0002656229776432384)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.509774410230463)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.20561748121735432)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0019778301719640926)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
LD1B6	(1, 0.0)	(2, 0.0003528233877396044)	(3, 2.7140260595354185e-05)	(4, 0.0)	(5, 0.0)	(6, 0.00029854586451554416)	(7, 2.7140592066587815e-05)	(8, 0.0)	(9, 0.10943125331625278)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.000507662030208147)	(26, 0.00028203804072685713)	(28, 2.8203867709194435e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0009589961453996109)	(38, 5.6417680398353956e-05)	(40, 8.463473341751669e-05)	(42, 0.0)	(44, 0.00014112166889356659)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.5049710880465244)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.2358577462066354)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0023215209831641366)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
LD1B7	(1, 0.0)	(2, 0.00012956570095303346)	(3, 5.1826293811033555e-05)	(4, 0.0)	(5, 2.5913146905516778e-05)	(6, 0.00044052555216638807)	(7, 0.00010365328597760206)	(8, 0.0)	(9, 0.13109590109580002)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0007864191258928946)	(26, 0.00022469350121233377)	(28, 4.4938932484646616e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0008089578600368075)	(38, 8.991758603651822e-05)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.4920017283802978)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.20552755118832394)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.003243633050056047)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
LD1C1	(1, 0.0)	(2, 4.236397774027153e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00048719111024499357)	(7, 0.00012709368308385196)	(8, 0.0)	(9, 0.10497991591862828)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0005962627170224291)	(26, 0.00018346902779074165)	(28, 2.293372314547021e-05)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0008715276503614546)	(38, 0.00011468873706139012)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.486913522213658)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.24468684924016837)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0019411264123635776)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
