Sample	Unique Reads	Duplicate Reads
LD1A1	2275286.0	1701421.0
LD1A2	2695415.0	1679829.0
LD1A3	2333306.0	1273048.0
LD1A4	2880958.0	1481190.0
LD1A5	2469362.0	1654422.0
LD1A6	2521390.0	1634265.0
LD1A7	2407526.0	1131199.0
LD1B1	1835731.0	1414792.0
LD1B2	2208163.0	1431917.0
LD1B3	2322583.0	1286186.0
LD1B4	2289864.0	1717498.0
LD1B5	2417044.0	1224013.0
LD1B6	2220226.0	1464337.0
LD1B7	2600270.0	1258778.0
LD1C1	2855206.0	1865786.0
LD1C10	3011421.0	2049506.0
LD1C2	2436058.0	1526724.0
LD1C3	3138372.0	1644052.0
LD1C4	2585394.0	1410419.0
LD1C5	3138259.0	1436658.0
LD1C6	2272406.0	1484304.0
LD1C7	3158286.0	1410227.0
LD1C8	1726767.0	1525112.0
LD1C9	2958646.0	1400697.0
LD1D1	2271652.0	2308170.0
LD1D10	3229884.0	1429568.0
LD1D2	2558278.0	1658492.0
LD1D3	2594466.0	1368236.0
LD1D4	2788960.0	1392654.0
LD1D5	3179603.0	1453565.0
LD1D6	2670485.0	1695215.0
LD1D7	3004564.0	1376456.0
LD1D8	3450925.0	1371509.0
LD1D9	3091825.0	1880194.0
O22A1	2276794.0	1599682.0
O22A2	2418822.0	1567517.0
O22A3	1762276.0	1390326.0
O22A4	1224587.0	1532142.0
O22A5	2163754.0	1083294.0
O22A6	1834511.0	1357524.0
O22A7	2438019.0	1316789.0
O22A8	1519830.0	1289123.0
O22B1	1519795.0	2036267.0
O22B2	2205519.0	1609406.0
O22B3	2257165.0	1228864.0
O22B4	2279162.0	1181902.0
O22B5	1569346.0	1496451.0
O22B6	1952658.0	1613700.0
O22B7	2348794.0	1106339.0
O22B8	2055783.0	964699.0
O22C1	1618926.0	1288299.0
O22C2	1431253.0	1876853.0
O22C3	1960779.0	1129916.0
O22C4	1974386.0	1291851.0
O22C5	2230312.0	1063534.0
O22C6	1122581.0	1712093.0
O22C7	2069853.0	1014289.0
O22C8	1901311.0	1071728.0
O22D1	1744072.0	1574895.0
O22D2	1984892.0	1362130.0
O22D3	1637031.0	1816068.0
O22D4	2038234.0	1154361.0
O22D5	1900449.0	1443501.0
O22D6	2087611.0	1424677.0
O22D7	1711813.0	1977116.0
O22D8	2341935.0	1001013.0
highN4A1	1315677.0	913696.0
highN4A2	1317940.0	869298.0
highN4A3	1429816.0	1051171.0
highN4A4	1468263.0	1126907.0
highN4A5	1172120.0	745723.0
highN4A6	1268161.0	926801.0
highN4A7	1355864.0	983324.0
highN4A8	1280188.0	977645.0
highN4B1	1273862.0	846296.0
highN4B2	1489762.0	919006.0
highN4B3	1621182.0	987821.0
highN4B4	1705863.0	971862.0
highN4B5	1745345.0	1154137.0
highN4B6	1402910.0	921115.0
highN4B7	1584302.0	945853.0
highN4B8	1520492.0	862267.0
highN4C1	1402306.0	853106.0
highN4C2	1372415.0	977919.0
highN4C3	1252726.0	808501.0
highN4C4	1439117.0	938155.0
highN4C5	1332812.0	794672.0
highN4C6	1026424.0	714691.0
highN4C7	1387676.0	854243.0
highN4C8	1302213.0	848308.0
highN4D1	1488225.0	931070.0
highN4D2	1582536.0	858170.0
highN4D3	1427871.0	1003540.0
highN4D4	1376476.0	761267.0
highN4D5	1393235.0	776648.0
highN4D6	1416501.0	785866.0
