Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
LD1A1	(1.0, 55.37117091359875)	(2.0, 0.8581380258880793)	(3.0, 0.5404744141385808)	(4.0, 0.47356504014072687)	(5.0, 0.44750415814171624)	(6.0, 0.4212741469031062)	(7.0, 0.3981947232710861)	(8.0, 0.4069097557403799)	(9.0, 0.3902568672588247)	('>10', 13.634395749930913)	('>50', 10.238893868736081)	('>100', 14.341453715647528)	('>500', 0.9702800691537847)	('>1k', 0.906466501263347)	('>5k', 0.29878729794304365)	('>10k+', 0.30223475224412916)
LD1A2	(1.0, 59.89063946598204)	(2.0, 0.8578207589826584)	(3.0, 0.5035692002255521)	(4.0, 0.4605386792241539)	(5.0, 0.42201126935714156)	(6.0, 0.3865230787780295)	(7.0, 0.3960545558883419)	(8.0, 0.35297453776636945)	(9.0, 0.32441657257203155)	('>10', 12.006510771049589)	('>50', 9.186764174430268)	('>100', 12.566072258362166)	('>500', 0.997320847898743)	('>1k', 1.268772769240113)	('>5k', 0.11781662275270455)	('>10k+', 0.2621944374900467)
LD1A3	(1.0, 62.644180264031746)	(2.0, 1.0378585518798733)	(3.0, 0.6644643340382791)	(4.0, 0.5686902594865934)	(5.0, 0.5085870162914062)	(6.0, 0.5468713574411421)	(7.0, 0.5342264060631488)	(8.0, 0.4927444662671765)	(9.0, 0.45067003350508494)	('>10', 14.010491239597975)	('>50', 7.830672295645283)	('>100', 8.280763207314601)	('>500', 0.6701205415099389)	('>1k', 1.2323249435817178)	('>5k', 0.527335083346025)	('>10k+', 0.0)
LD1A4	(1.0, 64.13615127074608)	(2.0, 1.2064268533195035)	(3.0, 0.5766476081210855)	(4.0, 0.5402918503796061)	(5.0, 0.44254410793978394)	(6.0, 0.4572142747050924)	(7.0, 0.4412218471447481)	(8.0, 0.4022941379494165)	(9.0, 0.39945134434099094)	('>10', 11.318935123423003)	('>50', 6.8098803885708215)	('>100', 8.993264253220676)	('>500', 0.8785145718242127)	('>1k', 1.7690997981805603)	('>5k', 0.79987910343056)	('>10k+', 0.8281834667039056)
LD1A5	(1.0, 56.56280550509193)	(2.0, 2.8221812014990633)	(3.0, 1.529703660613353)	(4.0, 1.0866289694366225)	(5.0, 0.8815742165165336)	(6.0, 0.7663054278244817)	(7.0, 0.694131400330398)	(8.0, 0.6178262234192105)	(9.0, 0.5483097741870863)	('>10', 9.868820032863376)	('>50', 4.207582964986102)	('>100', 6.38823921984186)	('>500', 0.9718880818467212)	('>1k', 2.5744259330560513)	('>5k', 0.7670140648341808)	('>10k+', 9.712563323652983)
LD1A6	(1.0, 58.91930437706164)	(2.0, 0.8786183488161828)	(3.0, 0.5022494684434161)	(4.0, 0.4453973852531214)	(5.0, 0.42220226041725123)	(6.0, 0.40573657752824477)	(7.0, 0.41498411060834367)	(8.0, 0.3684299598860551)	(9.0, 0.35797441026951293)	('>10', 12.407151261049929)	('>50', 9.417589134502306)	('>100', 13.226532852458279)	('>500', 0.9407545393157533)	('>1k', 0.8960225943990443)	('>5k', 0.11629852007503355)	('>10k+', 0.2807541999158748)
LD1A7	(1.0, 65.89355528921999)	(2.0, 1.1179239094905373)	(3.0, 0.713875677193436)	(4.0, 0.6054419680880976)	(5.0, 0.5911124876022402)	(6.0, 0.6016608216790897)	(7.0, 0.5724444790784932)	(8.0, 0.5090772590992142)	(9.0, 0.514358389206524)	('>10', 13.716516881962393)	('>50', 6.806148199890627)	('>100', 6.563187905202433)	('>500', 0.5867410475517257)	('>1k', 0.9494175629731989)	('>5k', 0.25853812176201973)	('>10k+', 0.0)
LD1B1	(1.0, 54.32721207049062)	(2.0, 0.9220139287044786)	(3.0, 0.6073872545500532)	(4.0, 0.5735925230047433)	(5.0, 0.5567119924705558)	(6.0, 0.5479235026616377)	(7.0, 0.5124548313334736)	(8.0, 0.4607614244795814)	(9.0, 0.45482080191963553)	('>10', 17.148575491149177)	('>50', 10.753934153210361)	('>100', 11.049775670700926)	('>500', 0.8114392552227163)	('>1k', 0.7616872086979943)	('>5k', 0.5117098914040308)	('>10k+', 0.0)
LD1B2	(1.0, 58.56920126955241)	(2.0, 1.0580178267163618)	(3.0, 0.6809308601157178)	(4.0, 0.5880757037163927)	(5.0, 0.5077228079586248)	(6.0, 0.5051275640728803)	(7.0, 0.4824086360795868)	(8.0, 0.4447219611097646)	(9.0, 0.46446598498674124)	('>10', 14.688723608250342)	('>50', 9.06554226338577)	('>100', 9.75735653407383)	('>500', 0.7696839750528219)	('>1k', 1.1561334460059232)	('>5k', 0.6030807333987761)	('>10k+', 0.658806825524039)
LD1B3	(1.0, 62.262946446822895)	(2.0, 1.081482972386168)	(3.0, 0.625816640908406)	(4.0, 0.5574574670545076)	(5.0, 0.5092272541786806)	(6.0, 0.5996441643663575)	(7.0, 0.5528080006379118)	(8.0, 0.4841923063279401)	(9.0, 0.4835970469804958)	('>10', 14.445541534862324)	('>50', 8.017572004122933)	('>100', 8.4902436900919)	('>500', 0.688916921299719)	('>1k', 0.756513195865071)	('>5k', 0.17626741470846713)	('>10k+', 0.26777293938624847)
LD1B4	(1.0, 53.88850884914)	(2.0, 2.6491645077542447)	(3.0, 1.4557697423423896)	(4.0, 1.1002870480681202)	(5.0, 0.8969322658710921)	(6.0, 0.7837798076626712)	(7.0, 0.6969060943700853)	(8.0, 0.6425833651423913)	(9.0, 0.596962441560524)	('>10', 10.330812175988473)	('>50', 4.28875553523186)	('>100', 6.038259857490971)	('>500', 0.9971376888112263)	('>1k', 2.2948474109661774)	('>5k', 1.0941595895933471)	('>10k+', 12.245133620006403)
