Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
LD1A1	LD1A1.gz	Conventional base calls	Sanger / Illumina 1.9	3976707.0	202.7 Mbp	0.0	0-100	47.0	57.21531284187069	51.2304797662991	20	pass	pass	fail	pass	fail	warn	pass	fail	warn	warn	pass
LD1A2	LD1A2.gz	Conventional base calls	Sanger / Illumina 1.9	4375244.0	235.5 Mbp	0.0	1-100	46.0	61.60603969002171	54.08320313107109	20	pass	pass	fail	pass	fail	warn	pass	warn	warn	warn	pass
LD1A3	LD1A3.gz	Conventional base calls	Sanger / Illumina 1.9	3606354.0	207.6 Mbp	0.0	0-100	46.0	64.69983979287034	57.79886583513432	84	pass	pass	fail	pass	fail	warn	pass	fail	warn	warn	pass
LD1A4	LD1A4.gz	Conventional base calls	Sanger / Illumina 1.9	4362148.0	257 Mbp	0.0	0-100	46.0	66.0444715260743	59.15061937375807	84	pass	pass	fail	pass	fail	warn	pass	fail	warn	warn	pass
LD1A5	LD1A5.gz	Conventional base calls	Sanger / Illumina 1.9	4123784.0	248.6 Mbp	0.0	0-100	45.0	59.88096136673846	60.51189005049731	84	pass	pass	fail	pass	fail	fail	pass	fail	warn	fail	pass
LD1A6	LD1A6.gz	Conventional base calls	Sanger / Illumina 1.9	4155655.0	220.6 Mbp	0.0	0-100	46.0	60.67370225322522	53.3351703883022	20	pass	pass	fail	pass	fail	warn	pass	fail	warn	warn	pass
LD1A7	LD1A7.gz	Conventional base calls	Sanger / Illumina 1.9	3538725.0	215.4 Mbp	0.0	0-100	46.0	68.0337006993832	61.099442454556375	84	pass	pass	fail	pass	fail	warn	pass	fail	warn	warn	pass
LD1B1	LD1B1.gz	Conventional base calls	Sanger / Illumina 1.9	3250523.0	168.6 Mbp	0.0	1-100	46.0	56.47492832911585	52.13992809772458	20	pass	pass	fail	pass	fail	warn	pass	warn	warn	warn	pass
LD1B2	LD1B2.gz	Conventional base calls	Sanger / Illumina 1.9	3640080.0	196.6 Mbp	0.0	4-100	46.0	60.66247009359079	54.25513834860772	20	pass	pass	fail	pass	fail	warn	pass	warn	warn	warn	pass
LD1B3	LD1B3.gz	Conventional base calls	Sanger / Illumina 1.9	3608769.0	206.3 Mbp	0.0	0-100	46.0	64.35940037777603	57.412303336677965	84	pass	pass	fail	pass	fail	warn	pass	fail	warn	warn	pass
