task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	4d/34ad9f	898636	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_BUILD (selected_barcodes_Nextflow.fa)	COMPLETED	0	2024-11-10 10:13:25.638	2.8s	2s	223.2%	119.3 MB	649.4 MB	13.8 MB	16.8 MB
2	3f/61de7d	898947	NFCORE_CRISPRISCREEN:CRISPRISCREEN:PREPARE_LIBRARY (selected_barcodes_Nextflow.fa)	COMPLETED	0	2024-11-10 10:13:28.436	31.1s	6s	112.3%	76.2 MB	1.1 GB	7.3 MB	2.6 MB
10	bf/7994df	899589	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (highN4A8)	COMPLETED	0	2024-11-10 10:13:59.548	53.7s	47s	218.2%	140.9 MB	715 MB	2.5 GB	2.4 GB
4	ef/0f3148	903056	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (highN4A2)	COMPLETED	0	2024-11-10 10:14:53.274	29.4s	27s	250.1%	140 MB	714.8 MB	2.4 GB	2.3 GB
3	4d/609b5e	905728	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (highN4A1)	COMPLETED	0	2024-11-10 10:15:22.678	1m 5s	1m 1s	115.5%	140.2 MB	714.9 MB	2.5 GB	2.4 GB
5	a1/e17359	909724	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (highN4A3)	COMPLETED	0	2024-11-10 10:16:28.001	31s	29s	254.0%	140.2 MB	651.7 MB	2.7 GB	2.6 GB
6	bc/34fbc8	912422	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (highN4A4)	COMPLETED	0	2024-11-10 10:16:59.013	31.9s	30s	255.8%	141 MB	651.8 MB	2.8 GB	2.7 GB
11	c1/8af5a7	915131	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (highN4B1)	COMPLETED	0	2024-11-10 10:17:30.907	27.4s	26s	253.6%	139.9 MB	651.8 MB	2.4 GB	2.3 GB
8	ca/3999d7	917623	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (highN4A6)	COMPLETED	0	2024-11-10 10:17:58.316	1m 7s	1m 5s	107.4%	140 MB	652.4 MB	2.4 GB	2.3 GB
12	dc/2df722	921806	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (highN4B2)	COMPLETED	0	2024-11-10 10:19:05.202	53.3s	51s	154.3%	143.6 MB	652.4 MB	2.7 GB	2.6 GB
9	1c/9fa73b	924305	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (highN4A7)	COMPLETED	0	2024-11-10 10:19:58.547	29.6s	27s	253.0%	147.2 MB	651.8 MB	2.6 GB	2.5 GB
7	25/0445ce	927002	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (highN4A5)	COMPLETED	0	2024-11-10 10:20:28.166	47.5s	41s	140.0%	143.5 MB	651.6 MB	2.2 GB	2.1 GB
