"","LD1A1","LD1A2","LD1A3","LD1A4","LD1A5","LD1A6","LD1A7","LD1B1","LD1B2","LD1B3","LD1B4","LD1B5","LD1B6","LD1B7","LD1C1","LD1C10","LD1C2","LD1C3","LD1C4","LD1C5","LD1C6","LD1C7","LD1C8","LD1C9","LD1D1","LD1D10","LD1D2","LD1D3","LD1D4","LD1D5","LD1D6","LD1D7","LD1D8","LD1D9","O22A1","O22A2","O22A3","O22A4","O22A5","O22A6","O22A7","O22A8","O22B1","O22B2","O22B3","O22B4","O22B5","O22B6","O22B7","O22B8","O22C1","O22C2","O22C3","O22C4","O22C5","O22C6","O22C7","O22C8","O22D1","O22D2","O22D3","O22D4","O22D5","O22D6","O22D7","O22D8","highN4A1","highN4A2","highN4A3","highN4A4","highN4A5","highN4A6","highN4A7","highN4A8","highN4B1","highN4B2","highN4B3","highN4B4","highN4B5","highN4B6","highN4B7","highN4B8","highN4C1","highN4C2","highN4C3","highN4C4","highN4C5","highN4C6","highN4C7","highN4C8","highN4D1","highN4D2","highN4D3","highN4D4","highN4D5","highN4D6"
"LD1A1",1,0.94014247187881,0.906997695013997,0.771033441503818,0.576417484211953,0.97643873573268,0.914415286818356,0.977247253145108,0.471975188310527,0.811405790566178,0.564518455200216,0.798355126081862,0.914912197414965,0.871020664987515,0.935341437042915,0.563250275143108,0.868665673621404,0.980174791357351,0.640729677683046,0.963157887476556,0.95191409271047,0.905922621841941,0.549930175769451,0.734490317251394,0.560008518665985,0.894147710434206,0.714422824065663,0.979418563645778,0.898357987229968,0.968091966464959,0.912206571823221,0.822159398208021,0.930732010527994,0.581904144887212,0.972121257529195,0.868566703895957,0.601866172192655,0.551689529586357,0.960720838988968,0.915844695809679,0.662446265777951,0.566977038179496,0.561030962595599,0.653775607348131,0.889880101716566,0.958707312229654,0.554661550103025,0.640074842415108,0.83849108499894,0.945443617106347,0.912895153477808,0.55634146116171,0.970955503160373,0.632095497439429,0.913240347822931,0.5506234319374,0.962061280101809,0.615638714610164,0.61713162534267,0.96392911238668,0.551075158449234,0.930378928598972,0.581566373223401,0.972019853202074,0.548729920269846,0.827032591313326,0.802972777740281,0.783678212716902,0.55302347630739,0.476003363361087,0.803279723815758,0.778291819393776,0.543518825673391,0.524248443095613,0.499626583096983,0.556904968580627,0.721548160039438,0.813820707458814,0.467949166435476,0.578851920344199,0.758292657600518,0.839303756616293,0.728756063385221,0.400543401769708,0.816301679633482,0.486667201980352,0.701033519434747,0.4199052526066,0.790638032279974,0.510452536616463,0.535783341042395,0.839569225154394,0.468502161253966,0.747236992179987,0.749145077182377,0.832915048533727
"LD1A2",0.94014247187881,1,0.96631083658867,0.690758078641632,0.418498657255932,0.95897953560766,0.976777917558193,0.911061120616096,0.506051875340251,0.815289201075692,0.398217597241449,0.73635030329442,0.942278949226514,0.93239200154393,0.910454922839692,0.39860061477725,0.844594274237871,0.938743468111998,0.506893898082214,0.909669305022802,0.925148322083651,0.934585377849212,0.383550265848434,0.631349599948624,0.392509690417939,0.968314266239666,0.607014137590398,0.939069836289926,0.891837650489058,0.929682213132067,0.938266017481549,0.797705319416279,0.959383940320895,0.424961388973347,0.896976596687826,0.918054975995085,0.467070452603657,0.382630579249671,0.90773301944104,0.942714624390848,0.609523642876973,0.407924881340682,0.397857348996286,0.564022360545135,0.954151945769016,0.886154890485137,0.405714618494743,0.54556750087524,0.791493638469292,0.89323523263969,0.883797431211536,0.390296570618223,0.915615874277218,0.521916254180834,0.921304050894372,0.380062440457975,0.909939250260749,0.488949445418798,0.485355818895371,0.890969425566604,0.38917969821694,0.881869245478285,0.445024454882136,0.899965059079722,0.3816051185012,0.774209633539758,0.864844580035505,0.895674116704007,0.728562708437832,0.636477277242401,0.8689641216819,0.898872439019055,0.715804893830093,0.638103662710411,0.621978629612773,0.716041407933913,0.867426445855088,0.873765974745507,0.529221046780675,0.720043859866743,0.884723504821098,0.886817659723782,0.87213222455546,0.513022718234136,0.871479942786906,0.653065534424727,0.854315955302701,0.536230506438742,0.852177419973836,0.674811666687965,0.692915965982559,0.852477318443806,0.54937944573527,0.881211117807656,0.880942464982481,0.882794525378452
"LD1A3",0.906997695013997,0.96631083658867,1,0.791916316385191,0.532721440478246,0.905753857058536,0.969218092635265,0.895486508888527,0.489207119990253,0.768996099574341,0.506931985879696,0.834670193071745,0.968733471458686,0.916114179701977,0.948082111346299,0.510773134967658,0.914226404953751,0.920677609394322,0.619850643737829,0.914530045672729,0.949436662400159,0.97960276533577,0.496647112690876,0.736233562246803,0.503133844772196,0.949738886338821,0.713393594616001,0.921916704058549,0.951893434519453,0.924029248497093,0.974876588414512,0.889549655423098,0.971031541704053,0.535383378153191,0.896362097970816,0.946328628980992,0.585721741606106,0.493548944022857,0.917208151497682,0.972659276976734,0.731002408107311,0.520935666283273,0.507897563642254,0.683244065838526,0.977255888549091,0.898227078913444,0.525087884426426,0.669009337141591,0.872085742402365,0.889860793004545,0.933026292338844,0.502591687512632,0.913566875641138,0.64470503548394,0.964434228468249,0.489918272422886,0.911843129900598,0.61039485771435,0.603639524470145,0.891601670517023,0.503950398134012,0.920556090521941,0.567297344709663,0.897159922449611,0.49487078846211,0.860323495820483,0.774553490785308,0.89335028260275,0.78173056583808,0.709815777162476,0.78360671073157,0.894308623554687,0.776830526700552,0.732592798746602,0.716271308383749,0.78507179135677,0.842587046405577,0.801434877730108,0.625501370876347,0.791339174720578,0.858309613758636,0.828116165144213,0.863282765008416,0.590035159797043,0.785274899892649,0.707408606586003,0.84044749821957,0.619377021622798,0.75864349227643,0.7358119481069,0.758229584482407,0.82404390368408,0.642053900187151,0.875235999122785,0.86559482117264,0.81004027252306
"LD1A4",0.771033441503818,0.690758078641632,0.791916316385191,1,0.933758237263214,0.678217522532861,0.696611380837033,0.83058731195406,0.35733589380945,0.557820476972977,0.918364117952245,0.99329198483927,0.83321399050595,0.649199201878254,0.910057007745696,0.923589088215795,0.950460595940797,0.794393825197406,0.962827549572069,0.845290429165832,0.895613078538296,0.858236372892176,0.915585583426515,0.993796711094494,0.919754218212413,0.644659772227927,0.990355130996879,0.796443661943337,0.928707639295828,0.810204289027475,0.861559202847757,0.971574543219227,0.7898289557095,0.929531454678379,0.871845105877623,0.766990884792033,0.947000463507564,0.91496105264743,0.852919444885376,0.832777699206544,0.933479324512093,0.925010878973437,0.915768984931034,0.955063612465272,0.751732800623571,0.888655516599496,0.918640318705543,0.954798525744042,0.959390713981588,0.804994093069604,0.924844777471957,0.919371946541787,0.845096290685523,0.959677472296658,0.864889710729823,0.912396220315083,0.841549258935507,0.957778316185237,0.953007462865528,0.877126802317773,0.91531764010485,0.92035743859122,0.936665880920677,0.86349941114473,0.915342531629927,0.973265152974821,0.348647024534992,0.543637583860574,0.455698617476431,0.456240199445623,0.359603527084604,0.526416408506712,0.467124513094788,0.591434038226977,0.55706170165088,0.507001785709738,0.403044402362635,0.403480089332293,0.584807780911088,0.542515980260197,0.437737806746946,0.474945931926871,0.45903469428088,0.447824615286373,0.380588515989261,0.414107952074625,0.409658240004525,0.473133982012189,0.331106508746495,0.44951514022618,0.489193594119518,0.591702944436685,0.569160646243715,0.486544957739336,0.458334347171866,0.434779820017498
"LD1A5",0.576417484211953,0.418498657255932,0.532721440478246,0.933758237263214,1,0.449293147414648,0.421899946576157,0.666140979902252,0.220521227134591,0.357128025682289,0.992681703861719,0.902682923607638,0.604735210500123,0.387039691694821,0.728506932695578,0.999060161880592,0.793865697250696,0.603100074450204,0.984525239040895,0.67591872853553,0.712547832822501,0.630691521116254,0.996808115820084,0.960972986223956,0.997259142037202,0.36400462330478,0.967438313065539,0.605294991066365,0.743285975475726,0.62212625775127,0.640521744668593,0.835371837290646,0.548501878583839,0.989817896581333,0.720508261653038,0.522109775547387,0.982035542401851,0.996419989505422,0.682173268011327,0.605599151399944,0.867886438446145,0.99186342282498,0.986859276785722,0.930657448427505,0.490017457677657,0.740582617788615,0.981777886387114,0.938325344593354,0.837279490162717,0.625656172049684,0.757747701857801,0.995930346282647,0.675685406316862,0.961500111499958,0.659564736838062,0.994705070960408,0.669566525962855,0.983455597903253,0.97933401859776,0.731419181793201,0.988751579612137,0.762138711527179,0.979571080938249,0.709472435532413,0.995957820883758,0.862057539723798,0.0679164657180166,0.245163659706091,0.160547329096042,0.194695052779138,0.0770032043489658,0.219776369294793,0.176768711788648,0.369575738948248,0.330824067000144,0.227568934278451,0.0773708700007828,0.123560163950871,0.423609222747186,0.273504923232278,0.120143353145014,0.207331872411974,0.142067835557941,0.255060822704545,0.105889372825506,0.145064555455315,0.0846570072319286,0.269860865201945,0.053609715141128,0.175608033640348,0.219065760664254,0.368761507581165,0.393797346067917,0.17292196066602,0.139617842399996,0.164619927204973
"LD1A6",0.97643873573268,0.95897953560766,0.905753857058536,0.678217522532861,0.449293147414648,1,0.933122383623606,0.949121432209039,0.487393165406876,0.8307779223433,0.434830506837749,0.715595964412147,0.9020090884876,0.894585663835062,0.893673610432299,0.434303181945277,0.809529946131144,0.965947130935985,0.523343391945897,0.934730484155148,0.918193551240643,0.884946135278863,0.421120993707816,0.631495044857067,0.430003414873964,0.926406665441572,0.60771685275885,0.965238949195663,0.854004108165802,0.95117574115023,0.89311880661896,0.755951042066764,0.927735103014644,0.454599282747164,0.931369983831801,0.857103549318347,0.4809475767309,0.42099584712468,0.92965711623926,0.901369833507669,0.572453274282255,0.43865185050357,0.431628596786518,0.548668493919247,0.89384088976523,0.915654177863793,0.43148004213247,0.533792107101354,0.770989067277275,0.914626282165359,0.865123093723328,0.426296157958631,0.94268698438685,0.5198071136818,0.88736760455012,0.419551629978419,0.933608524243911,0.498257695227659,0.498761828526722,0.923250662163058,0.423324024744497,0.880546768221062,0.461468223158531,0.937185216198418,0.419133046065317,0.755410793618703,0.874801212763442,0.822701428312072,0.588216687639418,0.497759133468975,0.873630873587822,0.822445008485468,0.575627152317558,0.518118998645961,0.499258591607471,0.580487187722507,0.784765164314756,0.875951077948794,0.443794670588279,0.595587445395653,0.817582837481961,0.890345443411745,0.782905504481479,0.404758668197615,0.882476186294133,0.519474638850121,0.760102546049122,0.422353817572039,0.86309735837533,0.539447822922309,0.559673174325325,0.859956070461972,0.45151737988415,0.795912503732388,0.801359464724326,0.889395592697953
"LD1A7",0.914415286818356,0.976777917558193,0.969218092635265,0.696611380837033,0.421899946576157,0.933122383623606,1,0.885558340009955,0.495166683248145,0.801233371585448,0.3973079315482,0.74429072822169,0.932337073100381,0.939625158222347,0.900503912033792,0.400991896041482,0.843232238414693,0.928168402001928,0.512397591982343,0.911212957838371,0.912569086212879,0.951192042204673,0.387585911541237,0.637224073188816,0.392823705664301,0.977292441490891,0.608940743840336,0.927843558898969,0.897848522429981,0.929768214633289,0.928322333629867,0.810393430305654,0.971235442879123,0.424485104597729,0.875099098435126,0.918921209693419,0.473217362196725,0.383604526378862,0.910461022579755,0.936674591667847,0.624515160697345,0.409522173309296,0.39693648872032,0.570398162425888,0.9591145168994,0.880750085301608,0.414707325518887,0.555737516321404,0.807125246463844,0.901544078456434,0.876639046283515,0.391524205038341,0.905732250612242,0.531895594746209,0.932759508333687,0.379938995136671,0.916296191578673,0.498659318124905,0.491247435501815,0.871570449909009,0.393123999680966,0.884082602283277,0.454415774274279,0.880332999203551,0.38482575498294,0.787609345432839,0.861345137011632,0.908548636055038,0.755069048733104,0.666106074323765,0.866740908053044,0.91176511740884,0.742699935266875,0.666631352453405,0.652409184668047,0.745157150452523,0.882277166704793,0.880780652453668,0.55583114064719,0.748598041229658,0.900021949096859,0.894078766499232,0.889287013961803,0.542610866111998,0.869167781270688,0.682654502505902,0.872512680106748,0.565618908136486,0.851096576152838,0.704333386861221,0.72201520794209,0.858269840975609,0.577083505356285,0.898609258567341,0.898982866069735,0.884182619961808
"LD1B1",0.977247253145108,0.911061120616096,0.895486508888527,0.83058731195406,0.666140979902252,0.949121432209039,0.885558340009955,1,0.479465723142157,0.799147933835706,0.65734818662387,0.852728462828767,0.922953373860653,0.852698615325329,0.95236959010366,0.654853643386617,0.897349063219097,0.973633525798515,0.720374475534296,0.967686682848553,0.967611463096801,0.906907029923811,0.641242553897269,0.80314051558263,0.6526126452462,0.869752727699607,0.784983744107575,0.975812120820776,0.916890899648713,0.967784924878403,0.925437253705221,0.866224708354365,0.924373680312268,0.672932027827626,0.987440495875667,0.848516757826133,0.685937264858812,0.644967335729447,0.961653200559547,0.9187539596022,0.72255046712239,0.65869667454935,0.653688639707676,0.726916236259712,0.873234932280284,0.972567166290906,0.640495468625202,0.712317273169184,0.874263984537995,0.92490592186294,0.937394631660465,0.648916391695814,0.97784959540712,0.708480105410706,0.916805447145438,0.644322070466532,0.964937338037879,0.697309219211762,0.6985791925791,0.982410523196387,0.641223811547797,0.942153963268682,0.664944364404973,0.985903313119153,0.640766333124097,0.873582203599825,0.744381248482845,0.743684457356186,0.516160831624884,0.448984366317041,0.746626660639098,0.736334357993435,0.509800708827415,0.518455801758841,0.490278113467838,0.528396685029278,0.662683446581429,0.760215518062163,0.474889744371474,0.555327812235225,0.70349058840696,0.797648119904316,0.67982260531396,0.390774875675635,0.76368254553719,0.453542479826699,0.640383234439549,0.410236349569007,0.732479260498601,0.479594020151211,0.508390434570399,0.818349415587384,0.472461667151461,0.698763430952772,0.686955570886131,0.78620406053099
"LD1B2",0.471975188310527,0.506051875340251,0.489207119990253,0.35733589380945,0.220521227134591,0.487393165406876,0.495166683248145,0.479465723142157,1,0.870879053867147,0.211758791183579,0.409378697401894,0.619068746206653,0.743016857819121,0.462020986952833,0.21107911264367,0.435307623930355,0.4720427171407,0.264415482383331,0.455186822844213,0.473855663393076,0.474880764116327,0.20323668916654,0.325844760272036,0.208063025994173,0.49883588176755,0.316222043061493,0.475730498494017,0.455135994962893,0.469323706429619,0.491066129484861,0.417098588958915,0.491204006120414,0.22504221463744,0.459995793396288,0.457401691041274,0.242457238131062,0.202680659225279,0.45184003131417,0.4826176194027,0.310512858041905,0.215256891651291,0.210420180931395,0.293767653268963,0.504235214270192,0.447871466472703,0.21219760255524,0.282589821217399,0.398542780325633,0.449362448350795,0.453270561751675,0.206519623397925,0.467732270933482,0.269815351978234,0.455572874413054,0.201499563518283,0.46146258270755,0.25477771640152,0.252425503160079,0.463887321480253,0.205151371445444,0.436113050167999,0.23161963264342,0.459750544584454,0.201807569834691,0.399586298298499,0.427110724189738,0.439845844711842,0.362422777304547,0.318337032162949,0.430617870347497,0.447514842622453,0.350584691656339,0.317506542457079,0.311873375042831,0.353296322132656,0.42149393596248,0.434022083721305,0.259430317466216,0.35951882549537,0.439268121605585,0.448504842005177,0.431580582913309,0.262030048504316,0.428576697329824,0.3259072907553,0.414726165537888,0.270252714444786,0.42601523954396,0.335379430552981,0.348328786411331,0.428810808318276,0.279249505643067,0.435387059390536,0.425939003951634,0.44848426345314
"LD1B3",0.811405790566178,0.815289201075692,0.768996099574341,0.557820476972977,0.357128025682289,0.8307779223433,0.801233371585448,0.799147933835706,0.870879053867147,1,0.34380188251276,0.610741657284386,0.839145967590983,0.933947493869677,0.742018309231173,0.344317310297379,0.677639176593781,0.816200766154351,0.42362840797536,0.787497037374353,0.765311324875077,0.7508314953577,0.334057901196166,0.517000239090704,0.339801031533375,0.800726064973409,0.496030046467942,0.817190542138044,0.715425423290412,0.806184158104396,0.75202490679964,0.634026715919168,0.791503834424473,0.360680223178765,0.774925696420396,0.720353915216045,0.384578842089635,0.332283527711444,0.780865173174297,0.754927496329639,0.466216687396877,0.347287134622544,0.340327589269767,0.444293654216283,0.773636245477995,0.765144754742501,0.345478792111406,0.432991870276929,0.642291054386752,0.773914085461897,0.718727222989515,0.337462390294665,0.79779947410638,0.420781963634902,0.744288627567184,0.330673408180135,0.791185387829817,0.401634721320791,0.401724505149428,0.778065981549217,0.337471803869717,0.730409250012737,0.371253229865895,0.780179106094413,0.332417888498068,0.630752945336149,0.753545686655413,0.704368853015131,0.504876297923494,0.428058839813544,0.753784736630354,0.707453534944148,0.489114774393384,0.440462752644009,0.426934205714742,0.495417515763065,0.67131364869147,0.757961093134955,0.377783984659448,0.510674825506211,0.705643803282727,0.773633991997548,0.674939855392786,0.354067045056872,0.759240371970554,0.449454677810361,0.651594625848247,0.36529016853284,0.748868483021611,0.46416856969927,0.48300535577209,0.743751598020133,0.389555473735315,0.685068437764992,0.68551571221477,0.774655186142196
