Sample	Reads passing filters
LD1A1	3976714.0
LD1A2	4375246.0
LD1A3	3606357.0
LD1A4	4362157.0
LD1A5	4123789.0
LD1A6	4155659.0
LD1A7	3538728.0
LD1B1	3250529.0
LD1B2	3640085.0
LD1B3	3608779.0
LD1B4	4007371.0
LD1B5	3641065.0
LD1B6	3684573.0
LD1B7	3859054.0
LD1C1	4720995.0
LD1C10	5060931.0
LD1C2	3962786.0
LD1C3	4782431.0
LD1C4	3995817.0
LD1C5	4574918.0
LD1C6	3756714.0
LD1C7	4568514.0
LD1C8	3251882.0
LD1C9	4359348.0
LD1D1	4579826.0
LD1D10	4659454.0
LD1D2	4216774.0
LD1D3	3962706.0
LD1D4	4181619.0
LD1D5	4633172.0
LD1D6	4365707.0
LD1D7	4381029.0
LD1D8	4822441.0
LD1D9	4972021.0
O22A1	3876481.0
O22A2	3986349.0
O22A3	3152605.0
O22A4	2756733.0
O22A5	3247053.0
O22A6	3192037.0
O22A7	3754816.0
O22A8	2808959.0
O22B1	3556073.0
O22B2	3814931.0
O22B3	3486034.0
O22B4	3461079.0
O22B5	3065807.0
O22B6	3566364.0
O22B7	3455139.0
O22B8	3020502.0
O22C1	2907233.0
O22C2	3308114.0
O22C3	3090701.0
O22C4	3266246.0
O22C5	3293855.0
O22C6	2834681.0
O22C7	3084149.0
O22C8	2973046.0
O22D1	3318986.0
O22D2	3347031.0
O22D3	3453103.0
O22D4	3192605.0
O22D5	3343963.0
O22D6	3512297.0
O22D7	3688939.0
O22D8	3342965.0
highN4A1	2229389.0
highN4A2	2187252.0
highN4A3	2481006.0
highN4A4	2595182.0
highN4A5	1917866.0
highN4A6	2194968.0
highN4A7	2339201.0
highN4A8	2257845.0
highN4B1	2120160.0
highN4B2	2408786.0
highN4B3	2609020.0
highN4B4	2677742.0
highN4B5	2899492.0
highN4B6	2324070.0
highN4B7	2530178.0
highN4B8	2382796.0
highN4C1	2255423.0
highN4C2	2350345.0
highN4C3	2061236.0
highN4C4	2377282.0
highN4C5	2127501.0
highN4C6	1741118.0
highN4C7	2241942.0
highN4C8	2150544.0
highN4D1	2419307.0
highN4D2	2440731.0
highN4D3	2431422.0
highN4D4	2137759.0
highN4D5	2169896.0
highN4D6	2202379.0
