.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
LD1A1	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1A2	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
LD1A3	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1A4	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1A5	1	1	0.25	1	0.25	0.25	1	0.25	0.5	0.25	1
LD1A6	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1A7	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1B1	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
LD1B2	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
LD1B3	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1B4	1	1	0.25	1	0.25	0.25	1	0.25	0.5	0.25	1
LD1B5	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1B6	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
LD1B7	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1C1	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
LD1C10	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	1
LD1C2	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1C3	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
LD1C4	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	1
LD1C5	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1C6	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
LD1C7	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1C8	1	1	0.25	1	0.25	0.25	1	0.25	0.5	0.25	1
LD1C9	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.25	1
LD1D1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
LD1D10	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
LD1D2	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.25	1
LD1D3	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
LD1D4	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1D5	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1D6	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1D7	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
LD1D8	1	1	0.25	1	0.25	0.5	1	0.25	1	0.5	1
LD1D9	1	1	0.25	1	0.25	0.25	1	0.25	0.5	0.25	1
O22A1	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
O22A2	1	1	0.25	1	0.25	0.25	1	0.25	0.5	0.5	1
O22A3	1	1	0.25	1	0.25	0.25	1	0.25	0.5	0.25	1
O22A4	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
O22A5	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
O22A6	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
O22A7	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	1
O22A8	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	1
O22B1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
O22B2	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	1
O22B3	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
O22B4	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
O22B5	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	1
O22B6	1	1	0.25	1	0.25	0.25	1	0.25	0.5	0.25	1
O22B7	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
O22B8	1	1	0.25	1	0.25	0.25	1	0.25	0.5	0.5	1
O22C1	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
O22C2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
O22C3	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
O22C4	1	1	0.25	1	0.25	0.25	1	0.25	0.5	0.25	1
O22C5	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
O22C6	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
O22C7	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
O22C8	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	1
O22D1	1	1	0.25	1	0.25	0.25	1	0.25	0.5	0.25	1
O22D2	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
O22D3	1	1	0.25	1	0.25	0.25	1	0.25	0.25	0.25	1
O22D4	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
O22D5	1	1	0.25	1	0.25	0.25	1	0.25	0.5	0.25	1
O22D6	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
O22D7	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
O22D8	1	1	0.25	1	0.25	0.5	1	0.5	1	0.5	1
highN4A1	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4A2	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4A3	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4A4	1	1	0.25	1	0.25	0.25	1	0.25	0.5	0.5	1
highN4A5	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4A6	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
highN4A7	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
highN4A8	1	1	0.25	1	0.25	0.25	1	0.25	0.5	0.5	1
highN4B1	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.5	1
highN4B2	1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
highN4B3	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4B4	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4B5	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4B6	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4B7	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4B8	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4C1	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4C2	1	1	0.25	1	0.25	0.25	1	0.25	0.5	0.5	1
highN4C3	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4C4	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4C5	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4C6	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.5	1
highN4C7	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
highN4C8	1	1	0.25	1	0.25	0.5	1	0.25	0.5	0.5	1
