Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
LD1A1	(1, 32.813097070791756)	(2, 32.57346004456955)	(3, 32.96253178511652)	(4, 32.99505218391914)	(5, 32.71545516862968)	(6, 33.075445460201166)	(7, 32.995967728753754)	(8, 32.280538723993224)	(9, 32.213244152808905)	(10, 31.921437912635916)	(12, 31.486858486687773)	(14, 29.79483684304803)	(16, 33.21697430037386)	(18, 30.51697733570827)	(20, 33.28102522690982)	(22, 26.28815221003611)	(24, 29.77134145371656)	(26, 29.449612928200544)	(28, 29.149436781175275)	(30, 32.0291350576164)	(32, 29.64608685353216)	(34, 24.320627509213736)	(36, 27.0890073438605)	(38, 32.088706414174155)	(40, 32.237421552609575)	(42, 32.23738004349432)	(44, 32.26301643279632)	(46, 32.33294129449982)	(48, 32.408339261533655)	(50, 32.434337567781334)	(52, 32.45294885333511)	(54, 32.55339633031808)	(56, 32.642351462650666)	(58, 32.63061926942035)	(60, 32.88370720207578)	(62, 32.04527854334204)	(64, 32.698325570954935)	(66, 32.624839660996884)	(68, 28.460150203584263)	(70, 32.655239347649285)	(72, 32.89230879961538)	(74, 24.465708176819376)	(76, 28.71780419721863)	(78, 25.333371902057433)	(80, 24.781661435736886)	(82, 24.29003506215564)	(84, 25.815703383448653)	(86, 28.27402887010664)	(88, 29.503380085026404)	(90, 28.29067680180983)	(92, 27.991839466479)	(94, 28.860934496892348)	(96, 28.90558514092725)	(98, 28.16342234669813)	(100, 32.40660394402212)
LD1A2	(1, 32.842253369183524)	(2, 32.64919914162482)	(3, 32.965572190064)	(4, 33.01780907611718)	(5, 32.69601667565665)	(6, 33.12764928918402)	(7, 33.03272163264634)	(8, 32.174672846399744)	(9, 32.192406589744564)	(10, 31.813769726295945)	(12, 31.35856052619506)	(14, 29.52636406464694)	(16, 33.232487089900545)	(18, 30.28133180272235)	(20, 33.285659740497636)	(22, 26.329950225719784)	(24, 29.72176001102229)	(26, 29.506598365440688)	(28, 29.19394718585945)	(30, 32.098450384436546)	(32, 29.61804208900361)	(34, 24.436197725520138)	(36, 27.11295654228068)	(38, 32.18726587671445)	(40, 32.2840489509947)	(42, 32.296750662812144)	(44, 32.32193793796787)	(46, 32.38548100448874)	(48, 32.466621637360824)	(50, 32.491997353173694)	(52, 32.49441090432805)	(54, 32.5705648646003)	(56, 32.658426722066864)	(58, 32.686653554632656)	(60, 32.91711379299558)	(62, 32.15580085121024)	(64, 32.87947711398522)	(66, 32.684705243381146)	(68, 28.42166605303337)	(70, 32.70150695705455)	(72, 32.925300472423544)	(74, 24.672831453472433)	(76, 29.47722577515853)	(78, 25.27201991097852)	(80, 24.716356650773715)	(82, 24.958124630891668)	(84, 28.062396022991468)	(86, 28.953611242737978)	(88, 29.361640632896393)	(90, 28.249071062069483)	(92, 28.057019128096208)	(94, 29.17488187676355)	(96, 29.074701480394495)	(98, 27.908799507992306)	(100, 32.465573617011316)
LD1A3	(1, 32.8776938918625)	(2, 32.74251300413465)	(3, 32.99372329711576)	(4, 33.05761778107073)	(5, 32.64385080653547)	(6, 33.161092390930605)	(7, 33.08794868118988)	(8, 32.08990587318599)	(9, 32.178917855765306)	(10, 31.72624329323558)	(12, 31.18308953851498)	(14, 29.12502495497721)	(16, 33.21719529408003)	(18, 29.981959179311566)	(20, 33.28474311109599)	(22, 26.271190959303652)	(24, 29.70928459126666)	(26, 29.51605794912099)	(28, 29.260718563124442)	(30, 32.16199209246098)	(32, 29.574940069640363)	(34, 24.594443291070693)	(36, 27.169850792281522)	(38, 32.26457684757571)	(40, 32.3572859087719)	(42, 32.37044864372453)	(44, 32.38931365903975)	(46, 32.44593471049345)	(48, 32.51721200602138)	(50, 32.53321748970622)	(52, 32.53055027847877)	(54, 32.60378481526918)	(56, 32.674190908963354)	(58, 32.75559344411204)	(60, 32.958939641702024)	(62, 32.1541423116762)	(64, 32.91596585238573)	(66, 32.70711850430007)	(68, 28.294594275118378)	(70, 32.6824129812844)	(72, 32.92422816613772)	(74, 24.49579288054254)	(76, 29.78856734080815)	(78, 25.151406691364812)	(80, 24.76617596400679)	(82, 24.94499966705698)	(84, 27.929010866232634)	(86, 29.02917015832545)	(88, 29.36483157443822)	(90, 28.110846521053286)	(92, 28.177458908461716)	(94, 29.224386753263623)	(96, 29.06999137155445)	(98, 27.896148686028038)	(100, 32.45538837719411)
LD1A4	(1, 32.86979737271577)	(2, 32.72191072926032)	(3, 32.95757042519897)	(4, 33.047770764153874)	(5, 32.63587753272759)	(6, 33.1568566363534)	(7, 33.036751310090565)	(8, 31.978189747682126)	(9, 32.09970206846465)	(10, 31.58852477969485)	(12, 31.052357965941738)	(14, 28.961935890010473)	(16, 33.21213030954112)	(18, 29.81411769937275)	(20, 33.2620635016242)	(22, 26.18898552613454)	(24, 29.70579050827603)	(26, 29.568224387732847)	(28, 29.338026283450013)	(30, 32.20760663657388)	(32, 29.60655135765439)	(34, 24.48464480072465)	(36, 27.145214430847656)	(38, 32.22280087624023)	(40, 32.30083628333174)	(42, 32.31574840408631)	(44, 32.30664981559916)	(46, 32.341390780128535)	(48, 32.40655301826714)	(50, 32.39206136086119)	(52, 32.40260379727061)	(54, 32.521768975614066)	(56, 32.63412730960646)	(58, 32.74148022537183)	(60, 32.94238225820888)	(62, 31.937556999858288)	(64, 32.85135176736246)	(66, 32.688971682867816)	(68, 28.37599137386919)	(70, 32.70940120261223)	(72, 32.87479732274775)	(74, 24.47456051349218)	(76, 29.568159838906617)	(78, 25.217767968331156)	(80, 24.816716745637443)	(82, 24.720970520619375)	(84, 28.330138470196122)	(86, 29.296381353900504)	(88, 29.555400774305532)	(90, 28.15550640809584)	(92, 28.289440263326718)	(94, 29.25128098551659)	(96, 29.188271709020825)	(98, 27.810365219249718)	(100, 32.43683983850318)
LD1A5	(1, 32.929196322890895)	(2, 32.78643662869749)	(3, 32.96881625439554)	(4, 33.09554115723354)	(5, 32.55552284554462)	(6, 33.16096453055922)	(7, 33.15091578342654)	(8, 32.06552617705444)	(9, 32.177513335034064)	(10, 31.641439129371655)	(12, 31.032773426311742)	(14, 28.734912194666272)	(16, 33.1303191395091)	(18, 29.819611116823143)	(20, 33.262924585627665)	(22, 26.28284581443984)	(24, 29.661669191233248)	(26, 29.529186599713675)	(28, 29.31475698081639)	(30, 32.26757134276828)	(32, 29.490118593593238)	(34, 24.493624802226627)	(36, 27.02610897174077)	(38, 32.31449665173086)	(40, 32.4116036612915)	(42, 32.460485449385274)	(44, 32.39278759862326)	(46, 32.44134325203756)	(48, 32.50815920314835)	(50, 32.492980745208186)	(52, 32.5020031160732)	(54, 32.5853546513451)	(56, 32.69412058188117)	(58, 32.80578114558755)	(60, 32.999220029401826)	(62, 31.975977747195103)	(64, 32.914307035603386)	(66, 32.68947147327975)	(68, 28.302336763554834)	(70, 32.6863290430199)	(72, 32.85051968273888)	(74, 24.1919571202954)	(76, 28.597612160275446)	(78, 25.07323799484132)	(80, 24.82592931112068)	(82, 24.69852068137836)	(84, 28.304517962128255)	(86, 29.371151634213525)	(88, 29.580712784788137)	(90, 28.06560527853383)	(92, 28.43669073187856)	(94, 29.373607145739868)	(96, 29.202447970160797)	(98, 27.96470901247894)	(100, 32.480833399126546)
LD1A6	(1, 32.86094366855374)	(2, 32.64520434088112)	(3, 32.97348863668084)	(4, 33.02237579085063)	(5, 32.715146985358736)	(6, 33.101032575084886)	(7, 33.003092437929254)	(8, 32.16329234609089)	(9, 32.21328178523395)	(10, 31.83654726980078)	(12, 31.38418374370779)	(14, 29.59850921543243)	(16, 33.228779898383365)	(18, 30.351846795599073)	(20, 33.28573874569922)	(22, 26.325709653238796)	(24, 29.67786379305231)	(26, 29.51292707137469)	(28, 29.24506803824947)	(30, 32.05220936947083)	(32, 29.631168459632864)	(34, 24.346094336024336)	(36, 27.08737729713453)	(38, 32.14986596780507)	(40, 32.2443112770536)	(42, 32.257448511103256)	(44, 32.279584410822466)	(46, 32.3265370609943)	(48, 32.40367629377713)	(50, 32.43094179487735)	(52, 32.445513463588995)	(54, 32.55043531179399)	(56, 32.640677010798356)	(58, 32.63300356747693)	(60, 32.85877958093138)	(62, 31.935235523633725)	(64, 32.58200161883666)	(66, 32.649143183133305)	(68, 28.39989732904413)	(70, 32.6855697505634)	(72, 32.92043239504435)	(74, 24.478369994646393)	(76, 28.682167944637207)	(78, 25.325486958239246)	(80, 24.72289340973814)	(82, 24.644099791519757)	(84, 26.070980122909923)	(86, 28.878158230964075)	(88, 29.368554314190742)	(90, 28.239161639034904)	(92, 27.991243279934288)	(94, 29.109117056166475)	(96, 28.928770645351868)	(98, 27.97490624416421)	(100, 32.395986179778966)
LD1A7	(1, 32.85791206095757)	(2, 32.750443027046764)	(3, 32.96914592330226)	(4, 33.069922155490644)	(5, 32.61930433018276)	(6, 33.20132703912872)	(7, 33.0767596095399)	(8, 31.95827537854532)	(9, 32.07374224886872)	(10, 31.50365102335647)	(12, 30.941232570118487)	(14, 28.768485857004563)	(16, 33.21195114477174)	(18, 29.626322301997625)	(20, 33.203658465892076)	(22, 25.917612021580624)	(24, 29.678833778607686)	(26, 29.531491826134488)	(28, 29.276315368530014)	(30, 32.23411544687219)	(32, 29.590152532528666)	(34, 24.588932048051774)	(36, 27.149844969282434)	(38, 32.242464048660054)	(40, 32.321261535606766)	(42, 32.33761257360388)	(44, 32.34495659563804)	(46, 32.38289755580418)	(48, 32.43458887402143)	(50, 32.42522531087373)	(52, 32.41106403379537)	(54, 32.49713680533739)	(56, 32.590675779096216)	(58, 32.77493940375743)	(60, 32.982771141721614)	(62, 31.914528304292475)	(64, 32.88814640630383)	(66, 32.71474035091687)	(68, 28.397722017353978)	(70, 32.69756335997353)	(72, 32.83970562243119)	(74, 24.213348364440712)	(76, 28.433777809698796)	(78, 24.88968163945328)	(80, 24.853513965211206)	(82, 24.804236297435725)	(84, 27.819288435255125)	(86, 29.247288535356006)	(88, 29.602971403266753)	(90, 28.05900937769655)	(92, 28.44636687154631)	(94, 29.393606980196964)	(96, 29.24805315037834)	(98, 27.924124737193495)	(100, 32.44461213473152)
LD1B1	(1, 32.8418454507167)	(2, 32.60373933786635)	(3, 32.912868148561984)	(4, 32.999248120763376)	(5, 32.683374352411306)	(6, 33.07775443087042)	(7, 32.98697023609736)	(8, 32.11048511520659)	(9, 32.263342014142594)	(10, 31.83564837241491)	(12, 31.401507264535752)	(14, 29.71175444414542)	(16, 33.20716230972134)	(18, 30.444842168433226)	(20, 33.26241654446763)	(22, 26.378801508765655)	(24, 29.622196275275797)	(26, 29.558749785064233)	(28, 29.171814661165325)	(30, 32.03332907173635)	(32, 29.614451142028713)	(34, 24.35485093959844)	(36, 26.940053741617234)	(38, 32.13144324931186)	(40, 32.191960585256)	(42, 32.20563321188526)	(44, 32.22831838866051)	(46, 32.295031838265004)	(48, 32.37750334508313)	(50, 32.40652737241859)	(52, 32.42037133291791)	(54, 32.516489423763375)	(56, 32.607289491707796)	(58, 32.60833796501241)	(60, 32.90377410206713)	(62, 32.13347032413776)	(64, 32.83578113039494)	(66, 32.63198199442765)	(68, 28.449572057038367)	(70, 32.6866382734754)	(72, 32.93782543280202)	(74, 24.538775905902405)	(76, 28.52064197016273)	(78, 25.38122398034735)	(80, 24.79999953912426)	(82, 24.212140108087887)	(84, 25.70001273991684)	(86, 28.24742707441561)	(88, 29.461083178979912)	(90, 28.383156929896213)	(92, 27.776251913665085)	(94, 28.666472566140676)	(96, 28.958136548982296)	(98, 28.018759805479664)	(100, 32.42435661315296)
LD1B2	(1, 32.82109019581987)	(2, 32.65090987011274)	(3, 32.93797169292983)	(4, 33.00238511241511)	(5, 32.6626894636078)	(6, 33.111581922456054)	(7, 33.01105891706403)	(8, 32.126435736398946)	(9, 32.19480828454711)	(10, 31.779509492660445)	(12, 31.330197062247425)	(14, 29.49282647456169)	(16, 33.2167181186002)	(18, 30.252134927208573)	(20, 33.264744550887585)	(22, 26.31121699607096)	(24, 29.693977158014285)	(26, 29.52413223416196)	(28, 29.20555555865605)	(30, 32.097825063015065)	(32, 29.59314191287784)	(34, 24.47414802440855)	(36, 27.057506700452088)	(38, 32.18324531643788)	(40, 32.25670192030157)	(42, 32.26527323294218)	(44, 32.29926389271945)	(46, 32.3605751322538)	(48, 32.43300740484905)	(50, 32.45952369719524)	(52, 32.460116338064154)	(54, 32.54185209961324)	(56, 32.61879423613763)	(58, 32.67101993821673)	(60, 32.937244923814404)	(62, 32.147677379022085)	(64, 32.89685243696493)	(66, 32.6894153850257)	(68, 28.466208124194317)	(70, 32.737758797673514)	(72, 32.95634903598854)	(74, 24.69895959665439)	(76, 29.456495550701014)	(78, 25.281502310669744)	(80, 24.743568168392567)	(82, 24.948759261679953)	(84, 28.034941791978873)	(86, 28.858129820724507)	(88, 29.30343432147084)	(90, 28.304236173816122)	(92, 27.957782927992127)	(94, 29.103033669288322)	(96, 29.06262314914749)	(98, 27.87690191459152)	(100, 32.45968159733404)
LD1B3	(1, 32.8506925355135)	(2, 32.719168070424054)	(3, 32.973109097927356)	(4, 33.043750689293795)	(5, 32.636478860906394)	(6, 33.14106577860096)	(7, 33.0660906943092)	(8, 32.09007817704391)	(9, 32.163542298814264)	(10, 31.7235001305711)	(12, 31.191514386133928)	(14, 29.164933307473877)	(16, 33.20203231036075)	(18, 30.015951153763737)	(20, 33.27124175936836)	(22, 26.293754916819225)	(24, 29.71506405138758)	(26, 29.517053824962588)	(28, 29.250614465569342)	(30, 32.15280255194605)	(32, 29.554336293230662)	(34, 24.630220729387176)	(36, 27.12199747441579)	(38, 32.237012786817814)	(40, 32.334921602444496)	(42, 32.35474021615097)	(44, 32.37653826631837)	(46, 32.43562087647746)	(48, 32.50917210715859)	(50, 32.52075841274016)	(52, 32.51838452313275)	(54, 32.58868830226533)	(56, 32.65417706646516)	(58, 32.75942959450117)	(60, 32.98633380137181)	(62, 32.15148575729263)	(64, 32.92715015646333)	(66, 32.74277829312243)	(68, 28.40179037547302)	(70, 32.80161634763108)	(72, 32.975424210279684)	(74, 24.535093410347212)	(76, 29.74429680323382)	(78, 25.135312483692747)	(80, 24.78445183862888)	(82, 24.948698293068144)	(84, 27.854942927630482)	(86, 28.897183709869974)	(88, 29.3156381941774)	(90, 28.138842761297347)	(92, 28.092106869491396)	(94, 29.147630625881284)	(96, 29.073684206713843)	(98, 27.864035265016852)	(100, 32.466008303354755)
