Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
LD1A1	(12.0, 3.0)	(13.0, 32.0)	(14.0, 150.0)	(15.0, 240.0)	(16.0, 827.0)	(17.0, 1789.0)	(18.0, 3236.0)	(19.0, 3340.0)	(20.0, 5961.0)	(21.0, 8050.0)	(22.0, 10296.0)	(23.0, 13070.0)	(24.0, 23086.0)	(25.0, 42994.0)	(26.0, 76049.0)	(27.0, 96350.0)	(28.0, 129172.0)	(29.0, 254627.0)	(30.0, 675439.0)	(31.0, 685010.0)	(32.0, 407596.0)	(33.0, 481181.0)	(34.0, 1058208.0)
LD1A2	(12.0, 2.0)	(13.0, 38.0)	(14.0, 149.0)	(15.0, 228.0)	(16.0, 883.0)	(17.0, 2018.0)	(18.0, 3526.0)	(19.0, 3804.0)	(20.0, 6409.0)	(21.0, 8670.0)	(22.0, 10965.0)	(23.0, 13415.0)	(24.0, 24135.0)	(25.0, 45703.0)	(26.0, 82051.0)	(27.0, 106465.0)	(28.0, 141170.0)	(29.0, 271180.0)	(30.0, 751489.0)	(31.0, 871503.0)	(32.0, 457529.0)	(33.0, 495428.0)	(34.0, 1078484.0)
LD1A3	(12.0, 3.0)	(13.0, 18.0)	(14.0, 69.0)	(15.0, 164.0)	(16.0, 582.0)	(17.0, 1206.0)	(18.0, 2212.0)	(19.0, 2350.0)	(20.0, 4195.0)	(21.0, 5786.0)	(22.0, 7646.0)	(23.0, 10331.0)	(24.0, 19002.0)	(25.0, 37958.0)	(26.0, 68573.0)	(27.0, 88336.0)	(28.0, 123449.0)	(29.0, 247410.0)	(30.0, 690776.0)	(31.0, 784356.0)	(32.0, 370787.0)	(33.0, 368807.0)	(34.0, 772337.0)
LD1A4	(12.0, 7.0)	(13.0, 40.0)	(14.0, 165.0)	(15.0, 242.0)	(16.0, 913.0)	(17.0, 2040.0)	(18.0, 3529.0)	(19.0, 3669.0)	(20.0, 6440.0)	(21.0, 8278.0)	(22.0, 10531.0)	(23.0, 13651.0)	(24.0, 24133.0)	(25.0, 46203.0)	(26.0, 84297.0)	(27.0, 113272.0)	(28.0, 159188.0)	(29.0, 318638.0)	(30.0, 866010.0)	(31.0, 961975.0)	(32.0, 448367.0)	(33.0, 428481.0)	(34.0, 862078.0)
LD1A5	(12.0, 3.0)	(13.0, 17.0)	(14.0, 120.0)	(15.0, 198.0)	(16.0, 732.0)	(17.0, 1603.0)	(18.0, 2803.0)	(19.0, 2927.0)	(20.0, 5210.0)	(21.0, 7061.0)	(22.0, 8919.0)	(23.0, 11289.0)	(24.0, 20554.0)	(25.0, 40451.0)	(26.0, 76402.0)	(27.0, 106461.0)	(28.0, 153206.0)	(29.0, 324841.0)	(30.0, 885435.0)	(31.0, 909067.0)	(32.0, 387971.0)	(33.0, 365261.0)	(34.0, 813252.0)
LD1A6	(12.0, 2.0)	(13.0, 40.0)	(14.0, 145.0)	(15.0, 279.0)	(16.0, 893.0)	(17.0, 2008.0)	(18.0, 3296.0)	(19.0, 3559.0)	(20.0, 6291.0)	(21.0, 8498.0)	(22.0, 10504.0)	(23.0, 13430.0)	(24.0, 23892.0)	(25.0, 45165.0)	(26.0, 80216.0)	(27.0, 102980.0)	(28.0, 139921.0)	(29.0, 277646.0)	(30.0, 741992.0)	(31.0, 756824.0)	(32.0, 412682.0)	(33.0, 479285.0)	(34.0, 1046106.0)
LD1A7	(12.0, 2.0)	(13.0, 26.0)	(14.0, 116.0)	(15.0, 186.0)	(16.0, 657.0)	(17.0, 1488.0)	(18.0, 2746.0)	(19.0, 2730.0)	(20.0, 4758.0)	(21.0, 6507.0)	(22.0, 8463.0)	(23.0, 10752.0)	(24.0, 19552.0)	(25.0, 37946.0)	(26.0, 69500.0)	(27.0, 93418.0)	(28.0, 136109.0)	(29.0, 290954.0)	(30.0, 774053.0)	(31.0, 771622.0)	(32.0, 344869.0)	(33.0, 333187.0)	(34.0, 629083.0)
LD1B1	(12.0, 4.0)	(13.0, 25.0)	(14.0, 127.0)	(15.0, 227.0)	(16.0, 785.0)	(17.0, 1625.0)	(18.0, 2958.0)	(19.0, 2976.0)	(20.0, 5246.0)	(21.0, 6914.0)	(22.0, 8651.0)	(23.0, 10787.0)	(24.0, 18937.0)	(25.0, 35615.0)	(26.0, 62907.0)	(27.0, 81166.0)	(28.0, 108450.0)	(29.0, 218059.0)	(30.0, 569851.0)	(31.0, 561978.0)	(32.0, 328263.0)	(33.0, 391666.0)	(34.0, 833306.0)
LD1B2	(12.0, 2.0)	(13.0, 28.0)	(14.0, 131.0)	(15.0, 239.0)	(16.0, 880.0)	(17.0, 1876.0)	(18.0, 3239.0)	(19.0, 3368.0)	(20.0, 5808.0)	(21.0, 7648.0)	(22.0, 9458.0)	(23.0, 11561.0)	(24.0, 20627.0)	(25.0, 38670.0)	(26.0, 69376.0)	(27.0, 90367.0)	(28.0, 119063.0)	(29.0, 226285.0)	(30.0, 627367.0)	(31.0, 727384.0)	(32.0, 381238.0)	(33.0, 415463.0)	(34.0, 880002.0)
LD1B3	(12.0, 1.0)	(13.0, 19.0)	(14.0, 101.0)	(15.0, 197.0)	(16.0, 684.0)	(17.0, 1413.0)	(18.0, 2433.0)	(19.0, 2476.0)	(20.0, 4682.0)	(21.0, 6147.0)	(22.0, 7955.0)	(23.0, 10448.0)	(24.0, 19006.0)	(25.0, 37315.0)	(26.0, 68399.0)	(27.0, 90248.0)	(28.0, 122267.0)	(29.0, 243001.0)	(30.0, 685521.0)	(31.0, 780698.0)	(32.0, 371971.0)	(33.0, 375016.0)	(34.0, 778770.0)
LD1B4	(12.0, 1.0)	(13.0, 41.0)	(14.0, 143.0)	(15.0, 283.0)	(16.0, 979.0)	(17.0, 2046.0)	(18.0, 3712.0)	(19.0, 3673.0)	(20.0, 6246.0)	(21.0, 8283.0)	(22.0, 9748.0)	(23.0, 12167.0)	(24.0, 21196.0)	(25.0, 39762.0)	(26.0, 75926.0)	(27.0, 105499.0)	(28.0, 141556.0)	(29.0, 276610.0)	(30.0, 765987.0)	(31.0, 866690.0)	(32.0, 387820.0)	(33.0, 373363.0)	(34.0, 905630.0)
LD1B5	(12.0, 3.0)	(13.0, 30.0)	(14.0, 130.0)	(15.0, 202.0)	(16.0, 785.0)	(17.0, 1745.0)	(18.0, 2949.0)	(19.0, 3044.0)	(20.0, 5378.0)	(21.0, 6894.0)	(22.0, 8638.0)	(23.0, 10887.0)	(24.0, 19625.0)	(25.0, 38160.0)	(26.0, 70836.0)	(27.0, 95971.0)	(28.0, 135272.0)	(29.0, 278995.0)	(30.0, 758748.0)	(31.0, 788244.0)	(32.0, 364832.0)	(33.0, 356167.0)	(34.0, 693521.0)
LD1B6	(12.0, 1.0)	(13.0, 27.0)	(14.0, 171.0)	(15.0, 284.0)	(16.0, 929.0)	(17.0, 2042.0)	(18.0, 3408.0)	(19.0, 3577.0)	(20.0, 6078.0)	(21.0, 7927.0)	(22.0, 9903.0)	(23.0, 12294.0)	(24.0, 21096.0)	(25.0, 40582.0)	(26.0, 72323.0)	(27.0, 93485.0)	(28.0, 125764.0)	(29.0, 247777.0)	(30.0, 661883.0)	(31.0, 673611.0)	(32.0, 370656.0)	(33.0, 427840.0)	(34.0, 902905.0)
