Sample	Assigned	Unassigned: Unmapped
LD1A1	1252759.0	2723947.0
LD1A2	1352303.0	3022941.0
LD1A3	1014984.0	2591369.0
LD1A4	1231385.0	3130762.0
LD1A5	1187640.0	2936143.0
LD1A6	1248908.0	2906746.0
LD1A7	856816.0	2681908.0
LD1B1	1010743.0	2239780.0
LD1B2	1114620.0	2525460.0
LD1B3	924528.0	2684240.0
LD1B4	1299637.0	2707724.0
LD1B5	982848.0	2658208.0
LD1B6	1198835.0	2485728.0
LD1B7	956125.0	2902922.0
LD1C1	1584650.0	3136342.0
LD1C10	1358535.0	3702392.0
LD1C2	1289013.0	2673766.0
LD1C3	1211163.0	3571261.0
LD1C4	1147647.0	2848166.0
LD1C5	1063147.0	3511767.0
LD1C6	1186550.0	2570160.0
LD1C7	1123641.0	3444871.0
LD1C8	783146.0	2468732.0
LD1C9	1151776.0	3207567.0
LD1D1	1871427.0	2708395.0
LD1D10	1087017.0	3572435.0
LD1D2	1434855.0	2781915.0
LD1D3	1009139.0	2953563.0
LD1D4	1145848.0	3035765.0
LD1D5	1076324.0	3556842.0
LD1D6	1453102.0	2912596.0
LD1D7	1127496.0	3253523.0
LD1D8	1043333.0	3779100.0
LD1D9	1503928.0	3468089.0
O22A1	1230955.0	2645520.0
O22A2	1291380.0	2694958.0
O22A3	1019092.0	2133508.0
O22A4	926364.0	1830365.0
O22A5	770563.0	2476485.0
O22A6	1047715.0	2144320.0
O22A7	1063952.0	2690856.0
O22A8	733386.0	2075567.0
O22B1	1580885.0	1975177.0
O22B2	1396138.0	2418787.0
O22B3	967763.0	2518265.0
O22B4	853648.0	2607414.0
O22B5	893758.0	2172039.0
O22B6	1338585.0	2227771.0
O22B7	863897.0	2591235.0
O22B8	640881.0	2379596.0
O22C1	990035.0	1917188.0
O22C2	1285395.0	2022711.0
O22C3	782319.0	2308374.0
O22C4	1010116.0	2256119.0
O22C5	817327.0	2476517.0
O22C6	1181634.0	1653040.0
O22C7	697096.0	2387046.0
O22C8	730043.0	2242996.0
O22D1	1259544.0	2059422.0
O22D2	981386.0	2365635.0
O22D3	1111935.0	2341163.0
O22D4	841784.0	2350810.0
O22D5	980929.0	2363020.0
O22D6	1054932.0	2457354.0
O22D7	974098.0	2714831.0
O22D8	754728.0	2588220.0
highN4A1	581648.0	1647722.0
highN4A2	644817.0	1542420.0
highN4A3	841541.0	1639441.0
highN4A4	866649.0	1728520.0
highN4A5	481096.0	1436745.0
highN4A6	680063.0	1514899.0
highN4A7	782877.0	1556311.0
highN4A8	754260.0	1503572.0
highN4B1	651308.0	1468850.0
highN4B2	725437.0	1683331.0
highN4B3	717308.0	1891694.0
highN4B4	612009.0	2065713.0
highN4B5	863640.0	2035839.0
highN4B6	723195.0	1600828.0
highN4B7	664353.0	1865794.0
highN4B8	555402.0	1827356.0
highN4C1	638247.0	1617161.0
highN4C2	719245.0	1631086.0
highN4C3	515703.0	1545519.0
highN4C4	724997.0	1652273.0
highN4C5	588650.0	1538831.0
highN4C6	549746.0	1191369.0
highN4C7	544413.0	1697500.0
highN4C8	668155.0	1482363.0
highN4D1	730389.0	1688904.0
highN4D2	549667.0	1891037.0
highN4D3	744723.0	1686687.0
highN4D4	558424.0	1579318.0
highN4D5	553400.0	1616479.0
highN4D6	505849.0	1696515.0
