Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
LD1A1	4.9	3976714	1393220	3976714	371733612	2299670	349173770	6.068819517993976
LD1A2	4.9	4375246	1643727	4375246	411475639	2053925	385642935	6.2780640095196505
LD1A3	4.9	3606357	1416686	3606357	340477669	1638786	318308269	6.511264032414414
LD1A4	4.9	4362157	1836187	4362157	414332522	2007046	385746451	6.899306591240742
LD1A5	4.9	4123789	1654822	4123789	390313812	1890100	364450810	6.626207222203042
LD1A6	4.9	4155659	1571998	4155659	390881275	1997053	366164037	6.3234643306973455
LD1A7	4.9	3538728	1375357	3538728	334660954	1659396	313110198	6.439578846117794
LD1B1	4.9	3250529	1173146	3250529	304762308	1836653	286076716	6.131201762653668
LD1B2	4.9	3640085	1382378	3640085	342616425	1708953	320944751	6.325345902491394
LD1B3	4.9	3608779	1425085	3608779	340808395	1644828	318513642	6.5417264736099
LD1B4	4.9	4007371	1692215	4007371	380495208	1836456	354187779	6.913997455652582
LD1B5	4.9	3641065	1469027	3641065	344668313	1672258	321728608	6.655588615133298
LD1B6	4.9	3684573	1406679	3684573	346793781	1790389	324678542	6.377057551675069
LD1B7	4.9	3859054	1507526	3859054	364880975	1808765	341263537	6.472641660749782
LD1C1	4.9	4720995	1660604	4720995	441841448	2718045	415276543	6.012316209863589
LD1C10	4.9	5060931	2024422	5060931	479072447	2276942	447546777	6.580564212660721
LD1C2	4.9	3962786	1488428	3962786	372774110	1873601	349412443	6.266976802654026
LD1C3	4.9	4782431	1876322	4782431	451488174	2184843	422121184	6.504487092058363
LD1C4	4.9	3995817	1680388	3995817	379527918	1856827	353367718	6.892826261070997
LD1C5	4.9	4574918	1832062	4574918	433038484	2123061	404416892	6.609480001782013
LD1C6	4.9	3756714	1420559	3756714	353413144	1834109	331070238	6.322035945556117
LD1C7	4.9	4568514	1778010	4568514	432124106	2153646	404274765	6.44475524816012
LD1C8	4.9	3251882	1479208	3251882	311335549	1471626	288432230	7.356474091559651
LD1C9	4.9	4359348	1860542	4359348	414866127	1968625	385968213	6.965599772863597
LD1D1	4.9	4579826	1630874	4579826	428870428	2609482	402866981	6.06324085371538
LD1D10	4.9	4659454	1863858	4659454	441114550	2095907	412049223	6.58906558398493
LD1D2	4.9	4216774	1591278	4216774	396804551	1977660	371867745	6.284405241108234
LD1D3	4.9	3962706	1560819	3962706	374277730	1804515	349879459	6.518761081510246
LD1D4	4.9	4181619	1764753	4181619	397291283	1930931	369816448	6.9155393474867655
LD1D5	4.9	4633172	1860413	4633172	438714292	2130079	409684405	6.617036994089995
LD1D6	4.9	4365707	1658190	4365707	410876042	2097747	384842602	6.336081284583636
LD1D7	4.9	4381029	1710006	4381029	414595422	2058992	387837067	6.454088390778227
LD1D8	4.9	4822441	2193569	4822441	461837088	2197850	427872077	7.354327290405919
LD1D9	4.9	4972021	2130703	4972021	473153572	2250502	440011026	7.004606529737875
O22A1	4.9	3876481	1400424	3876481	363472537	2192037	341147560	6.1421358500050856
O22A2	4.9	3986349	1513748	3986349	375240757	1865978	351479914	6.332159435442136
O22A3	4.9	3152605	1253578	3152605	297955871	1420581	278400328	6.563234661014618
