Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
LD1A1	3976706	1252759	2723947	0	0	0	0	0	0	0	0	0	0	0	0	31.502429397596902
LD1A2	4375244	1352303	3022941	0	0	0	0	0	0	0	0	0	0	0	0	30.908059070534122
LD1A3	3606353	1014984	2591369	0	0	0	0	0	0	0	0	0	0	0	0	28.144333070001743
LD1A4	4362147	1231385	3130762	0	0	0	0	0	0	0	0	0	0	0	0	28.228874451044405
LD1A5	4123783	1187640	2936143	0	0	0	0	0	0	0	0	0	0	0	0	28.79976953200496
LD1A6	4155654	1248908	2906746	0	0	0	0	0	0	0	0	0	0	0	0	30.05322387282483
LD1A7	3538724	856816	2681908	0	0	0	0	0	0	0	0	0	0	0	0	24.21256927638324
LD1B1	3250523	1010743	2239780	0	0	0	0	0	0	0	0	0	0	0	0	31.094780747590466
LD1B2	3640080	1114620	2525460	0	0	0	0	0	0	0	0	0	0	0	0	30.62075558778928
LD1B3	3608768	924528	2684240	0	0	0	0	0	0	0	0	0	0	0	0	25.618936989022295
LD1B4	4007361	1299637	2707724	0	0	0	0	0	0	0	0	0	0	0	0	32.43124340432519
LD1B5	3641056	982848	2658208	0	0	0	0	0	0	0	0	0	0	0	0	26.993487603596318
LD1B6	3684563	1198835	2485728	0	0	0	0	0	0	0	0	0	0	0	0	32.53669431083143
LD1B7	3859047	956125	2902922	0	0	0	0	0	0	0	0	0	0	0	0	24.776194744453747
LD1C1	4720992	1584650	3136342	0	0	0	0	0	0	0	0	0	0	0	0	33.566038663060645
LD1C10	5060927	1358535	3702392	0	0	0	0	0	0	0	0	0	0	0	0	26.843599996601412
LD1C2	3962779	1289013	2673766	0	0	0	0	0	0	0	0	0	0	0	0	32.52800622997144
LD1C3	4782424	1211163	3571261	0	0	0	0	0	0	0	0	0	0	0	0	25.325295289585366
LD1C4	3995813	1147647	2848166	0	0	0	0	0	0	0	0	0	0	0	0	28.721238956878114
LD1C5	4574914	1063147	3511767	0	0	0	0	0	0	0	0	0	0	0	0	23.238622627660323
LD1C6	3756710	1186550	2570160	0	0	0	0	0	0	0	0	0	0	0	0	31.58481756643446
LD1C7	4568512	1123641	3444871	0	0	0	0	0	0	0	0	0	0	0	0	24.595338701091297
LD1C8	3251878	783146	2468732	0	0	0	0	0	0	0	0	0	0	0	0	24.082883798223673
