Sample	featurecounts-Assigned	featurecounts-percent_assigned	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
LD1A1	1.252759	31.502429397596902	6.068819517993976	42.78468715812931	47.0	51.2304797662991	20	27.27272727272727	3.9767069999999998
LD1A2	1.352303	30.908059070534122	6.2780640095196505	38.39396030997829	46.0	54.08320313107109	20	18.181818181818183	4.3752439999999995
LD1A3	1.0149839999999999	28.144333070001743	6.511264032414414	35.300160207129665	46.0	57.79886583513432	84	27.27272727272727	3.6063539999999996
LD1A4	1.231385	28.228874451044405	6.899306591240742	33.955528473925696	46.0	59.15061937375807	84	27.27272727272727	4.3621479999999995
LD1A5	1.18764	28.79976953200496	6.626207222203042	40.11903863326154	45.0	60.51189005049731	84	45.45454545454545	4.123784
LD1A6	1.248908	30.05322387282483	6.3234643306973455	39.32629774677478	46.0	53.3351703883022	20	27.27272727272727	4.155654999999999
LD1A7	0.8568159999999999	24.21256927638324	6.439578846117794	31.966299300616797	46.0	61.099442454556375	84	27.27272727272727	3.538725
LD1B1	1.010743	31.094780747590466	6.131201762653668	43.52507167088415	46.0	52.13992809772458	20	18.181818181818183	3.250523
LD1B2	1.11462	30.62075558778928	6.325345902491394	39.33752990640921	46.0	54.25513834860772	20	18.181818181818183	3.6400799999999998
LD1B3	0.9245279999999999	25.618936989022295	6.5417264736099	35.640599622223974	46.0	57.412303336677965	84	27.27272727272727	3.6087689999999997
LD1B4	1.299637	32.43124340432519	6.913997455652582	42.85858722630146	45.0	57.97265507832834	84	45.45454545454545	4.007362
LD1B5	0.9828479999999999	26.993487603596318	6.655588615133298	33.61699110853324	46.0	59.556373465177835	84	27.27272727272727	3.641057
LD1B6	1.1988349999999999	32.53669431083143	6.377057551675069	39.7424917263715	46.0	53.48103357168815	20	18.181818181818183	3.684563
LD1B7	0.956125	24.776194744453747	6.472641660749782	32.6188970742908	46.0	60.099975434355834	84	27.27272727272727	3.859048
LD1C1	1.58465	33.566038663060645	6.012316209863589	39.52106128319161	46.0	52.16435189892294	20	18.181818181818183	4.720992
LD1C10	1.358535	26.843599996601412	6.580564212660721	40.49665299882875	45.0	62.73446850744933	84	36.36363636363637	5.0609269999999995
LD1C2	1.289013	32.52800622997144	6.266976802654026	38.526570669141094	46.0	54.33540754954474	20	27.27272727272727	3.962782
LD1C3	1.211163	25.325295289585366	6.504487092058363	34.3769710100954	46.0	57.79931097702755	84	18.181818181818183	4.782424
LD1C4	1.1476469999999999	28.721238956878114	6.892826261070997	35.2974345384322	46.0	59.147577852116704	84	36.36363636363637	3.9958129999999996
LD1C5	1.0631469999999998	23.238622627660323	6.609480001782013	31.402945367576166	46.0	60.289093878643044	84	27.27272727272727	4.574917
LD1C6	1.18655	31.58481756643446	6.322035945556117	39.51075906999109	46.0	53.62479749568106	20	18.181818181818183	3.75671
LD1C7	1.123641	24.595338701091297	6.44475524816012	30.868412021659992	46.0	61.2694057125371	84	27.27272727272727	4.568512999999999
LD1C8	0.783146	24.082883798223673	7.356474091559651	46.8994233174657	45.0	64.49886773154844	84	45.45454545454545	3.2518789999999997
LD1C9	1.151776	26.420862042743597	6.965599772863597	32.130934751775655	46.0	60.65022722460701	84	27.27272727272727	4.359343
LD1D1	1.871427	40.86243963193329	6.06324085371538	50.39869371966862	45.0	50.618790206256925	20	45.45454545454545	4.579822
LD1D10	1.087017	23.329288508605732	6.58906558398493	30.68103980846614	46.0	62.03837704519759	84	18.181818181818183	4.659452
LD1D2	1.434855	34.02734794641396	6.284405241108234	39.330884889025356	46.0	53.98511159015076	20	27.27272727272727	4.2167699999999995
LD1D3	1.009139	25.4659320837146	6.518761081510246	34.52785619917394	46.0	57.77150817800582	84	18.181818181818183	3.9627019999999997
LD1D4	1.145848	27.402057531388007	6.9155393474867655	33.304233423786826	46.0	59.00353523782922	84	27.27272727272727	4.181614
LD1D5	1.076324	23.23085337326571	6.617036994089995	31.37303452912259	46.0	60.345552762170506	84	27.27272727272727	4.6331679999999995
LD1D6	1.453102	33.28452861375203	6.336081284583636	38.83032051186823	46.0	53.470964564674624	20	27.27272727272727	4.3656999999999995
LD1D7	1.127496	25.735930385145554	6.454088390778227	31.41863790044384	45.0	61.383943921735124	84	27.27272727272727	4.3810199999999995
LD1D8	1.0433329999999998	21.634992129491483	7.354327290405919	28.44019689650743	46.0	63.66110121984044	84	27.27272727272727	4.822433999999999
LD1D9	1.503928	30.247845089829738	7.004606529737875	37.8155159507514	45.0	59.67481691039394	84	45.45454545454545	4.9720189999999995
O22A1	1.230955	31.754493450879988	6.1421358500050856	41.2664193816357	46.0	51.93881349968373	20	27.27272727272727	3.876476
O22A2	1.29138	32.39514561986464	6.332159435442136	39.32222265544275	47.0	53.8533580561011	20	36.36363636363637	3.9863389999999996
