Module	Section	Sample Name	Source
featureCounts	all_sections	LD1A7	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/328/LD1A7.featureCounts.txt.summary
featureCounts	all_sections	O22B6	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/367/O22B6.featureCounts.txt.summary
featureCounts	all_sections	highN4B7	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/306/highN4B7.featureCounts.txt.summary
featureCounts	all_sections	LD1C2	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/335/LD1C2.featureCounts.txt.summary
featureCounts	all_sections	LD1A3	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/326/LD1A3.featureCounts.txt.summary
featureCounts	all_sections	highN4C5	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/313/highN4C5.featureCounts.txt.summary
featureCounts	all_sections	highN4C4	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/311/highN4C4.featureCounts.txt.summary
featureCounts	all_sections	O22D8	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/381/O22D8.featureCounts.txt.summary
featureCounts	all_sections	highN4A2	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/292/highN4A2.featureCounts.txt.summary
featureCounts	all_sections	LD1C10	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/343/LD1C10.featureCounts.txt.summary
featureCounts	all_sections	LD1B2	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/329/LD1B2.featureCounts.txt.summary
featureCounts	all_sections	highN4C6	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/308/highN4C6.featureCounts.txt.summary
featureCounts	all_sections	O22B8	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/364/O22B8.featureCounts.txt.summary
featureCounts	all_sections	LD1B5	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/337/LD1B5.featureCounts.txt.summary
featureCounts	all_sections	O22C3	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/371/O22C3.featureCounts.txt.summary
featureCounts	all_sections	LD1B3	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/324/LD1B3.featureCounts.txt.summary
featureCounts	all_sections	highN4D1	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/314/highN4D1.featureCounts.txt.summary
featureCounts	all_sections	O22C2	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/375/O22C2.featureCounts.txt.summary
featureCounts	all_sections	O22A4	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/355/O22A4.featureCounts.txt.summary
featureCounts	all_sections	highN4D4	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/318/highN4D4.featureCounts.txt.summary
featureCounts	all_sections	LD1B6	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/334/LD1B6.featureCounts.txt.summary
featureCounts	all_sections	O22A5	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/360/O22A5.featureCounts.txt.summary
featureCounts	all_sections	O22D6	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/379/O22D6.featureCounts.txt.summary
featureCounts	all_sections	O22B7	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/369/O22B7.featureCounts.txt.summary
featureCounts	all_sections	highN4D2	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/316/highN4D2.featureCounts.txt.summary
featureCounts	all_sections	highN4C2	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/310/highN4C2.featureCounts.txt.summary
featureCounts	all_sections	LD1D1	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/344/LD1D1.featureCounts.txt.summary
featureCounts	all_sections	highN4A7	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/299/highN4A7.featureCounts.txt.summary
featureCounts	all_sections	highN4D6	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/322/highN4D6.featureCounts.txt.summary
featureCounts	all_sections	O22A8	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/361/O22A8.featureCounts.txt.summary
featureCounts	all_sections	O22C6	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/378/O22C6.featureCounts.txt.summary
featureCounts	all_sections	O22C4	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/376/O22C4.featureCounts.txt.summary
featureCounts	all_sections	LD1C1	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/333/LD1C1.featureCounts.txt.summary
featureCounts	all_sections	O22B5	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/373/O22B5.featureCounts.txt.summary
featureCounts	all_sections	O22D3	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/383/O22D3.featureCounts.txt.summary
featureCounts	all_sections	LD1D3	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/352/LD1D3.featureCounts.txt.summary
featureCounts	all_sections	highN4A8	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/291/highN4A8.featureCounts.txt.summary
featureCounts	all_sections	LD1C8	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/339/LD1C8.featureCounts.txt.summary
featureCounts	all_sections	highN4D3	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/319/highN4D3.featureCounts.txt.summary
featureCounts	all_sections	O22D5	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/386/O22D5.featureCounts.txt.summary
featureCounts	all_sections	highN4B6	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/305/highN4B6.featureCounts.txt.summary
featureCounts	all_sections	LD1C5	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/340/LD1C5.featureCounts.txt.summary
featureCounts	all_sections	O22C1	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/368/O22C1.featureCounts.txt.summary
featureCounts	all_sections	LD1D2	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/351/LD1D2.featureCounts.txt.summary
featureCounts	all_sections	O22B1	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/372/O22B1.featureCounts.txt.summary
featureCounts	all_sections	highN4A6	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/297/highN4A6.featureCounts.txt.summary
featureCounts	all_sections	LD1D6	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/353/LD1D6.featureCounts.txt.summary
featureCounts	all_sections	highN4C8	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/315/highN4C8.featureCounts.txt.summary
featureCounts	all_sections	highN4C3	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/309/highN4C3.featureCounts.txt.summary
featureCounts	all_sections	highN4B5	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/303/highN4B5.featureCounts.txt.summary
featureCounts	all_sections	LD1D4	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/349/LD1D4.featureCounts.txt.summary
featureCounts	all_sections	LD1D7	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/348/LD1D7.featureCounts.txt.summary
featureCounts	all_sections	O22C7	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/370/O22C7.featureCounts.txt.summary
featureCounts	all_sections	LD1A6	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/327/LD1A6.featureCounts.txt.summary
featureCounts	all_sections	highN4A3	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/294/highN4A3.featureCounts.txt.summary
featureCounts	all_sections	LD1A1	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/320/LD1A1.featureCounts.txt.summary
featureCounts	all_sections	LD1B1	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/331/LD1B1.featureCounts.txt.summary
featureCounts	all_sections	highN4B2	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/298/highN4B2.featureCounts.txt.summary
featureCounts	all_sections	highN4A1	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/293/highN4A1.featureCounts.txt.summary
featureCounts	all_sections	LD1C3	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/336/LD1C3.featureCounts.txt.summary
featureCounts	all_sections	LD1B7	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/332/LD1B7.featureCounts.txt.summary
featureCounts	all_sections	O22D7	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/385/O22D7.featureCounts.txt.summary
featureCounts	all_sections	O22A7	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/363/O22A7.featureCounts.txt.summary
featureCounts	all_sections	LD1A5	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/323/LD1A5.featureCounts.txt.summary
featureCounts	all_sections	O22C5	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/377/O22C5.featureCounts.txt.summary
featureCounts	all_sections	O22A3	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/356/O22A3.featureCounts.txt.summary
featureCounts	all_sections	LD1D8	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/347/LD1D8.featureCounts.txt.summary
featureCounts	all_sections	O22D2	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/380/O22D2.featureCounts.txt.summary
featureCounts	all_sections	LD1C7	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/341/LD1C7.featureCounts.txt.summary
featureCounts	all_sections	highN4A4	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/295/highN4A4.featureCounts.txt.summary
featureCounts	all_sections	LD1A4	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/321/LD1A4.featureCounts.txt.summary
featureCounts	all_sections	highN4A5	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/300/highN4A5.featureCounts.txt.summary
featureCounts	all_sections	O22A2	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/358/O22A2.featureCounts.txt.summary
featureCounts	all_sections	O22D4	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/384/O22D4.featureCounts.txt.summary
featureCounts	all_sections	LD1D9	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/354/LD1D9.featureCounts.txt.summary
featureCounts	all_sections	O22A1	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/357/O22A1.featureCounts.txt.summary
featureCounts	all_sections	highN4B3	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/302/highN4B3.featureCounts.txt.summary
featureCounts	all_sections	O22C8	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/374/O22C8.featureCounts.txt.summary
featureCounts	all_sections	highN4B1	/home/ute/Documents/bioinformatic_analyses/2024-05_LargeRubiscoLibrary/work/78/d6323607561657427d9c32d55e2dbe/296/highN4B1.featureCounts.txt.summary
