"","id","experiment_id","channel_id","time","od_led","od_value","od_raw","od_repeats","intensity","flash","background","temperature","batchtime_h","od_corr","dilution"
"1",1,1,1,"2024-03-04 18:45:00",680,0.48279270529747,0.48279270529747,2,0,1001,12,21.520544052124,0,0.455118349428828,NA
"2",2,1,2,"2024-03-04 18:45:00",680,0.6671182513237,0.6671182513237,2,0,654,12,21.520544052124,0,0.657504146924493,NA
"3",3,1,3,"2024-03-04 18:45:00",680,0.346076518297195,0.346076518297195,2,0,1358,13,21.520544052124,0,0.31864916181452,NA
"4",4,1,4,"2024-03-04 18:45:00",680,0.571140825748444,0.571140825748444,2,0,816,12,21.520544052124,0,0.549221141746174,NA
"5",5,1,5,"2024-03-04 18:45:00",680,0.363122135400772,0.363122135400772,2,0,1310,12,21.520544052124,0,0.33512031247103,NA
"6",6,1,6,"2024-03-04 18:45:00",680,0.331826776266098,0.331826776266098,2,0,1400,12,21.520544052124,0,0.304987390359692,NA
"7",7,1,7,"2024-03-04 18:45:00",680,0.427025318145752,0.427025318145752,2,0,1141,12,21.520544052124,0,0.398203413921946,NA
"8",8,1,8,"2024-03-04 18:45:00",680,0.329145163297653,0.329145163297653,2,0,1426,13,21.520544052124,0,0.302427111554622,NA
"9",9,1,1,"2024-03-04 18:45:00",720,0.306680619716644,0.306680619716644,2,0,1501,12,21.520544052124,0,0.330051530509296,0
"10",10,1,2,"2024-03-04 18:45:00",720,0.509195327758789,0.509195327758789,2,0,947,12,21.520544052124,0,0.602350416853169,0
"11",11,1,3,"2024-03-04 18:45:00",720,0.177027031779289,0.177027031779289,2,0,2022,13,21.520544052124,0,0.183851934877591,0
"12",12,1,4,"2024-03-04 18:45:00",720,0.431653499603271,0.431653499603271,2,0,1122,12,21.520544052124,0,0.490469440541971,0
"13",13,1,5,"2024-03-04 18:45:00",720,0.225983753800392,0.225983753800392,2,0,1789,12,21.520544052124,0,0.237066008334126,0
"14",14,1,6,"2024-03-04 18:45:00",720,0.198689073324203,0.198689073324203,2,0,1904,13,21.520544052124,0,0.207137971496439,0
"15",15,1,7,"2024-03-04 18:45:00",720,0.281408786773682,0.281408786773682,2,0,1575,13,21.520544052124,0,0.300144112252498,0
"16",16,1,8,"2024-03-04 18:45:00",720,0.199343368411064,0.199343368411064,2,0,1911,14,21.520544052124,0,0.207847474538454,NA
"17",17,1,1,"2024-03-04 19:00:00",680,0.348943918943405,0.348943918943405,2,0,1358,12,21.4987392425537,0.25,0.321409979789882,NA
"18",18,1,2,"2024-03-04 19:00:00",680,0.460132718086243,0.460132718086243,2,0,1046,12,21.4987392425537,0.25,0.431771812005861,NA
"19",19,1,3,"2024-03-04 19:00:00",680,0.345753759145737,0.345753759145737,2,0,1359,13,21.4987392425537,0.25,0.318338648503809,NA
"20",20,1,4,"2024-03-04 19:00:00",680,0.491419672966003,0.491419672966003,2,0,978,12,21.4987392425537,0.25,0.464088419969422,NA
"21",21,1,5,"2024-03-04 19:00:00",680,0.345420122146606,0.345420122146606,2,0,1364,12,21.4987392425537,0.25,0.31801772282571,NA
"22",22,1,6,"2024-03-04 19:00:00",680,0.333708226680756,0.333708226680756,2,0,1394,12,21.4987392425537,0.25,0.306785711967238,NA
