Sample ID*,I7 index*,I5 index*,Project
1A1,i701,i501,large_Rubisco_firstCultiv
1A2,i701,i502,large_Rubisco_firstCultiv
1A3,i701,i503,large_Rubisco_firstCultiv
1A4,i701,i504,large_Rubisco_firstCultiv
1A5,i701,i505,large_Rubisco_firstCultiv
1A6,i701,i506,large_Rubisco_firstCultiv
1B1,i701,i507,large_Rubisco_firstCultiv
1B2,i701,i508,large_Rubisco_firstCultiv
1B3,i702,i501,large_Rubisco_firstCultiv
1B4,i702,i502,large_Rubisco_firstCultiv
1B5,i702,i503,large_Rubisco_firstCultiv
1B6,i702,i504,large_Rubisco_firstCultiv
1C1,i702,i505,large_Rubisco_firstCultiv
1C2,i702,i506,large_Rubisco_firstCultiv
1C3,i702,i507,large_Rubisco_firstCultiv
1C4,i702,i508,large_Rubisco_firstCultiv
1C5,i703,i501,large_Rubisco_firstCultiv
1C6,i703,i502,large_Rubisco_firstCultiv
1D1,i703,i503,large_Rubisco_firstCultiv
1D2,i703,i504,large_Rubisco_firstCultiv
1D3,i703,i505,large_Rubisco_firstCultiv
1D4,i703,i506,large_Rubisco_firstCultiv
1D5,i703,i507,large_Rubisco_firstCultiv
1D6,i703,i508,large_Rubisco_firstCultiv
4A1,i704,i501,large_Rubisco_firstCultiv
4A2,i704,i502,large_Rubisco_firstCultiv
4A3,i704,i510,large_Rubisco_firstCultiv
4A4,i704,i504,large_Rubisco_firstCultiv
4A5,i704,i505,large_Rubisco_firstCultiv
4A6,i704,i506,large_Rubisco_firstCultiv
4A7,i704,i511,large_Rubisco_firstCultiv
4A8,i704,i508,large_Rubisco_firstCultiv
4B1,i705,i510,large_Rubisco_firstCultiv
4B2,i705,i502,large_Rubisco_firstCultiv
4B3,i705,i512,large_Rubisco_firstCultiv
4B4,i705,i504,large_Rubisco_firstCultiv
4B5,i705,i505,large_Rubisco_firstCultiv
4B6,i705,i506,large_Rubisco_firstCultiv
4B7,i705,i513,large_Rubisco_firstCultiv
4B8,i705,i508,large_Rubisco_firstCultiv
4C1,i706,i509,large_Rubisco_firstCultiv
4C2,i706,i502,large_Rubisco_firstCultiv
4C3,i706,i514,large_Rubisco_firstCultiv
4C4,i706,i504,large_Rubisco_firstCultiv
4C5,i706,i505,large_Rubisco_firstCultiv
4C6,i706,i516,large_Rubisco_firstCultiv
4C7,i706,i515,large_Rubisco_firstCultiv
4C8,i706,i508,large_Rubisco_firstCultiv
4D1,i707,i509,large_Rubisco_firstCultiv
4D2,i707,i502,large_Rubisco_firstCultiv
4D3,i707,i516,large_Rubisco_firstCultiv
4D4,i707,i504,large_Rubisco_firstCultiv
4D5,i707,i505,large_Rubisco_firstCultiv
4D6,i707,i510,large_Rubisco_firstCultiv
3A1,i708,i501,large_Rubisco_firstCultiv
3A2,i708,i502,large_Rubisco_firstCultiv
3A3,i708,i513,large_Rubisco_firstCultiv
3A4,i708,i504,large_Rubisco_firstCultiv
3A5,i708,i505,large_Rubisco_firstCultiv
3A6,i708,i506,large_Rubisco_firstCultiv
3B1,i708,i514,large_Rubisco_firstCultiv
3B2,i708,i508,large_Rubisco_firstCultiv
3B3,i709,i501,large_Rubisco_firstCultiv
3B4,i709,i502,large_Rubisco_firstCultiv
3B5,i709,i515,large_Rubisco_firstCultiv
3B6,i709,i504,large_Rubisco_firstCultiv
3C1,i709,i505,large_Rubisco_firstCultiv
3C2,i709,i506,large_Rubisco_firstCultiv
3C3,i709,i509,large_Rubisco_firstCultiv
3C4,i709,i508,large_Rubisco_firstCultiv
3C5,i710,i501,large_Rubisco_firstCultiv
3C6,i710,i502,large_Rubisco_firstCultiv
3D1,i710,i516,large_Rubisco_firstCultiv
3D2,i710,i504,large_Rubisco_firstCultiv
3D3,i710,i505,large_Rubisco_firstCultiv
2A1,i711,i501,large_Rubisco_firstCultiv
2A2,i711,i502,large_Rubisco_firstCultiv
2A3,i711,i503,large_Rubisco_firstCultiv
2A4,i711,i504,large_Rubisco_firstCultiv
2A5,i711,i505,large_Rubisco_firstCultiv
2A6,i711,i506,large_Rubisco_firstCultiv
2B1,i711,i509,large_Rubisco_firstCultiv
2B2,i711,i508,large_Rubisco_firstCultiv
2B3,i712,i501,large_Rubisco_firstCultiv
2B4,i712,i502,large_Rubisco_firstCultiv
2B5,i712,i503,large_Rubisco_firstCultiv
2B6,i712,i504,large_Rubisco_firstCultiv
2C1,i712,i505,large_Rubisco_firstCultiv
2C2,i712,i506,large_Rubisco_firstCultiv
2C3,i712,i510,large_Rubisco_firstCultiv
2C4,i712,i508,large_Rubisco_firstCultiv
2C5,i707,i511,large_Rubisco_firstCultiv
2C6,i707,i508,large_Rubisco_firstCultiv
2D1,i710,i506,large_Rubisco_firstCultiv
2D2,i710,i512,large_Rubisco_firstCultiv
2D3,i710,i508,large_Rubisco_firstCultiv
