log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,Entry,ambig,gene_names_ordered_locus,gene_names_primary,Protein.names,locus_tag
2.5101773441490556,0.2444332367299945,10.269378165301816,9,2.866766512177321e-6,2.5550713604186373e-4,NA,0.22560975609756095,DCAS9,no,NA,NA,NA,NA
-0.5893765449928569,0.3808098244331032,-1.5476925939876653,9,0.1561021940489684,0.3279661630310366,NA,0,P15729,no,sll0771,gtr,Glucose transport protein,sll0771
0.07063335024173795,0.2729760906772043,0.25875288222682574,9,0.8016465561344817,0.8922417073990887,NA,0.05555555555555558,P52983,no,slr1349,pgi,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI),slr1349
-0.09195705128516464,0.17040340198800064,-0.5396432830116855,9,0.6025366059699082,0.7602852567457035,NA,0.025000000000000022,P72897,no,slr1619,NA,Rhamnosyl O-methyltransferase,slr1619
-0.3027914051966899,0.20173248637620037,-1.500955104633123,9,0.16760792511395017,0.3441210151295903,NA,0.0625,P72899,no,slr1063,NA,Slr1063 protein,slr1063
0.08931443724244602,0.32443086385418235,0.27529574770231785,9,0.7893049691028262,0.8846416324232989,NA,0.04166666666666663,P72900,no,NA,rfbU,Mannosyltransferase B,slr1064
-2.0207993746439454,1.2207903255639578,-1.6553206003745273,9,0.1322436187954943,0.2962029937072877,NA,0,P72901,no,slr1065,NA,Slr1065 protein,slr1065
-0.4531889933912109,0.23501817981393872,-1.928314625489805,9,0.08590428215835022,0.22560299343527898,NA,0.0625,P72902,no,slr1066,NA,Slr1066 protein,slr1066
-0.06884207802645344,0.18797793791332598,-0.3662242430715224,9,0.7226587448532373,0.8444025506816446,NA,0.16666666666666663,P72903,no,NA,galE,UDP-glucose 4-epimerase (EC 5.1.3.2),slr1067
-2.0982172868127784,0.8984552829388589,-2.3353608428340276,8,0.04776032103642747,0.15803262190035022,NA,0.375,P72907,no,slr1071,NA,Slr1071 protein,slr1071
-1.0175523101381398,0.6091498502211946,-1.670446622893605,5,0.1556972758115478,0.3274333380526622,NA,0.125,P72908,no,NA,yefA,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47)",slr1072
0.26942772282820365,0.8303392685487322,0.3244790810617806,8,0.7538971802505605,0.8657507522192783,NA,0.125,P72909,no,slr1073,NA,Slr1073 protein,slr1073
-1.040328869200074,0.3563520161788115,-2.919385388514413,9,0.017048860395134646,0.07833150094394768,NA,0.07499999999999996,P72911,no,slr1076,NA,Slr1076 protein,slr1076
1.1310260950564262,0.45436967596553807,2.4892200225576,9,0.03446608798926576,0.12577506645661232,NA,0.0535714285714286,P52986,no,sll0455,hom,Homoserine dehydrogenase (HDH) (EC 1.1.1.3),sll0455
-0.23036963323288062,0.5121565364249053,-0.44980316924385955,8,0.6647900996178588,0.8036796180284662,NA,0.125,P72912,no,slr1077,NA,Slr1077 protein,slr1077
0.646963515202321,0.39747134898761083,1.6276984916024395,9,0.1380308757553761,0.30417394616561494,NA,0,P72917,no,ssr1768,NA,Ssr1768 protein,ssr1768
-0.5376452251004309,0.7074895385610135,-0.7599338163981413,8,0.4690946055114311,0.6540726329424851,NA,0.125,P72920,no,slr1083,NA,Slr1083 protein,slr1083
-0.1643667434290238,0.5841502401010256,-0.28137751582640363,9,0.7847830986179387,0.8831360506548204,NA,0.125,P72923,no,slr1087,NA,Slr1087 protein,slr1087
0.6075419619535033,0.5094287753696184,1.1925945123784938,9,0.2635211638328121,0.45951635659484724,NA,0.3125,P72924,no,sll1025,NA,Sll1025 protein,sll1025
-0.3879345623680231,0.17552769018184383,-2.2101046391377293,9,0.05443594715658251,0.1719699118932037,NA,0.09375,P72927,no,NA,sucC,Succinate--CoA ligase,sll1023
-0.6950262821562138,0.2585501180860423,-2.688168496310327,9,0.024871019856921972,0.10141022599944322,NA,0,P72930,no,sll1020,NA,Sll1020 protein,sll1020
-0.2602516023778295,0.26934252568987077,-0.9662477238276557,9,0.35916533229715775,0.5598189805152975,NA,0,P72932,no,NA,hliA,High light inducible protein,ssr1789
-0.29212946797065975,0.1363194085688041,-2.142977812460315,9,0.060726426861867244,0.18379298983088213,NA,0.1484375,P72937,no,slr0670,NA,Slr0670 protein,slr0670
-0.08070621947354426,0.39272823471269475,-0.20550144435779083,9,0.8417533235868839,0.9163894963152776,NA,0,P72938,no,NA,nucH,Extracellular nuclease,sll0656
-0.21028132457927878,0.2696031396416287,-0.7799661563986098,9,0.45543239818673165,0.642555733598684,NA,0,P52997,no,slr0526,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT),slr0526
-2.5898128637621682,1.4291056933272754,-1.8121912716843978,8,0.10752954649840474,0.2611604249411312,NA,0.3125,P72944,no,slr0680,NA,Slr0680 protein,slr0680
-0.7535988580377859,0.57719483985416975,-1.3056229993812578,8,0.22797407523543511,0.4180812701775268,NA,0.375,P72948,no,sll0649,NA,OmpR subfamily,sll0649
0.5916025579109783,0.6292167375501152,0.9402206308344728,9,0.37165257701334076,0.5699902031586601,NA,0.0625,P72950,no,sll0647,NA,Sll0647 protein,sll0647
-0.5446214396381468,0.769839510479248,-0.7074480228990894,7,0.5021546587418624,0.6813775694487839,NA,0.125,P72951,no,NA,cyaA,Adenylate cyclase,sll0646
-0.5502189754684079,0.15923573804930005,-3.4553736630281944,9,0.007213270736972088,0.04556993019954776,NA,0.03125,P72952,no,sll0645,NA,Sll0645 protein,sll0645
-1.6163434730766852,0.8078576336960915,-2.0007776192961475,9,0.07645690494800483,0.21130618430074388,NA,0,P72959,no,slr0688,NA,Slr0688 protein,slr0688
0.27429234623340565,0.09388097036661353,2.921703356519108,9,0.016984685737142735,0.07833150094394768,NA,0.09375,P72961,no,slr0689,NA,Slr0689 protein,slr0689
-0.5085330618183266,0.28879101963754433,-1.7609033080619196,9,0.11210260017687834,0.26716963302066604,NA,0.0714285714285714,P72962,no,sll0639,NA,Sll0639 protein,sll0639
-0.4845429670615213,0.5184581830429069,-0.9345844716302243,9,0.374397893845956,0.5713660382811346,NA,0.0625,P72963,no,sll0638,NA,Sll0638 protein,sll0638
-0.5206660758055026,0.3987508513444689,-1.3057428568490121,9,0.22402776692743886,0.4132958973836127,NA,0.23750000000000004,P72964,no,NA,ycf45,Ycf45 protein,slr0692
0.12014152068401703,0.23383409634364252,0.5137895737303301,9,0.6197747047838804,0.7746590610683958,NA,0.0892857142857143,P53383,no,slr0067,mrp,Iron-sulfur cluster carrier protein,slr0067
0.42500185121754175,0.2441058661567458,1.7410554605215371,9,0.11565920055408885,0.2721534952551545,NA,0.09375,P72967,no,slr0695,NA,Slr0695 protein,slr0695
-0.06295988151812618,0.185703713577984,-0.3390340467891987,9,0.7423604755629254,0.8572401649509981,NA,0.017857142857142905,P72968,no,slr1590,NA,Slr1590 protein,slr1590
-1.022632729474752,0.19001470859894232,-5.38186089390158,9,4.4341225626665093e-4,0.008177871966297143,NA,0.28125,P72974,no,sll1516,NA,Sll1516 protein,sll1516
-1.4047333302168838,0.6827219863621385,-2.0575481063704406,9,0.06975646581072148,0.19967326986031914,NA,0,P72975,no,sll1515,NA,Sll1515 protein,sll1515
0.748249011991333,0.3686617276932904,2.0296357223547807,9,0.0729773727983809,0.2048288388271028,NA,0.04166666666666663,P72977,no,NA,hsp17,"16.6 kDa small heat shock protein, molecular chaperon",sll1514
-0.6221656244786847,0.31613738264291946,-1.9680229502672495,9,0.08059801451710813,0.21612652219953157,NA,0,P72985,no,slr1600,NA,Slr1600 protein,slr1600
-0.9433451044329211,0.23190993113949962,-4.067721894434419,9,0.0028092232149539154,0.025017115379260383,NA,0.04166666666666663,P72989,no,sll1507,NA,Sll1507 protein,sll1507
-0.604134833222465,0.5269056962298008,-1.1465710800723286,9,0.28112692857340416,0.47751858197240704,NA,0,P72990,no,slr1603,NA,Slr1603 protein,slr1603
-0.3949198203002444,0.26652283475233535,-1.481748536357949,9,0.17254884509041046,0.3506062918081204,NA,0.1071428571428571,P53579,no,slr0918,NA,Methionine aminopeptidase A (MAP A) (MetAP A) (EC 3.4.11.18) (Peptidase M),slr0918
0.4522580204832941,0.2749382424151799,1.6449440300136438,9,0.1343913901940732,0.29907921633608203,NA,0.0625,P72996,no,sll1505,NA,Sll1505 protein,sll1505
-0.35516227481403856,0.3559755860660922,-0.9977152611474243,9,0.34448460016632865,0.5476624709587378,NA,0,P72997,no,sll1504,NA,Sll1504 protein,sll1504
-0.9551898213931069,0.4867618829306655,-1.9623348805419187,9,0.08133855539724033,0.21757309503044261,NA,0,P72998,no,sll1503,NA,Sll1503 protein,sll1503
0.02536199841414663,0.1321921988611495,0.19185699786101654,9,0.8521130925072584,0.9215391581396055,NA,0.03289473684210531,P73004,no,slr1609,NA,Long-chain-fatty-acid CoA ligase,slr1609
-1.7690523433469711,0.8667262795758438,-2.041073848842688,9,0.07164060683385287,0.20332758993709132,NA,0.28125,P73006,no,slr1042,NA,CheY subfamily,slr1042
-0.1492617813071053,0.26601599313377877,-0.5611007802528697,9,0.5884244619945176,0.7517027331239923,NA,0.025000000000000022,P73007,no,slr1043,NA,Slr1043 protein,slr1043
0.07671745249876882,0.17393696309558254,0.4410646888011419,9,0.6695713848325533,0.8047383588371969,NA,0.0357142857142857,P73008,no,NA,mcpA,Methyl-accepting chemotaxis protein,slr1044
0.7117208561217059,0.8018418588289031,0.8876075104898867,9,0.39785152137720825,0.5960699142437406,NA,0,P73010,no,slr1046,tatA,Sec-independent protein translocase protein TatA,slr1046
-1.2347095096595273,1.1046738053728447,-1.1177141194570044,6,0.306434841650721,0.5065889971979833,NA,0,P73013,no,sll1011,NA,Sll1011 protein,sll1011
-1.077255342362703,0.5153025840961972,-2.090529672487728,9,0.06612650671295062,0.19281349582607085,NA,0,P73018,no,slr1053,NA,Slr1053 protein,slr1053
1.2715324209801113,0.9085846652303387,1.3994649806881347,9,0.19518369249532186,0.37813564060866295,NA,0.04166666666666663,P53580,no,slr0786,NA,Methionine aminopeptidase B (MAP B) (MetAP B) (EC 3.4.11.18) (Peptidase M),slr0786
-1.6108277833164526,0.11469643593488466,-14.044270601668478,9,1.9956326902104138e-7,5.071594141909941e-5,NA,0.08467741935483875,P73020,no,NA,chlH,Magnesium chelatase (EC 6.6.1.1),slr1055
-0.276181489239333,0.8483496743576652,-0.3255514766931997,9,0.7522049222233242,0.8657507522192783,NA,0,P73021,no,slr1056,NA,Slr1056 protein,slr1056
-0.917424573551892,0.3426803117417768,-2.6772024598927286,9,0.025321859983339357,0.10200008669297243,NA,0.20833333333333337,P73023,no,sll1005,NA,Regulatory protein for beta-lactamase,sll1005
-0.09729081057737873,0.14205699227629826,-0.6848716773346143,9,0.5106760048050165,0.6889668793005335,NA,0.046875,P73024,no,sll1004,NA,Sll1004 protein,sll1004
-0.9064153846033314,0.28849978898867673,-3.141823388435501,7,0.016337520792048643,0.07619481679739927,NA,0.5,P73029,no,NA,ycf22,Ycf22 protein,sll1002
0.49017180825641105,0.1493939383867172,3.281068921200573,9,0.0095130176970315,0.05475045291589406,NA,0.0535714285714286,P73031,no,ssl1918,NA,Ssl1918 protein,ssl1918
0.771406832582052,0.7126078145968701,1.0825124518434381,9,0.30717388613697394,0.5071963867802717,NA,0.125,P73032,no,slr1753,NA,Slr1753 protein,slr1753
0.05445774157346015,0.2908269975546049,0.18725132821699372,9,0.8556169081159926,0.9234688225251909,NA,0,P73034,no,sll1647,NA,Sll1647 protein,sll1647
-0.4852656466680791,0.28429137829425094,-1.7069305779854258,9,0.12201775273653936,0.28248950521424965,NA,0.09722222222222221,P73037,no,NA,ytfC,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),slr1761
-1.3770943583754793,0.8315108383854953,-1.6561351876655237,7,0.1416650475042589,0.30934728839476916,NA,0.125,P53581,no,sll0555,NA,Methionine aminopeptidase C (MAP C) (MetAP C) (EC 3.4.11.18) (Peptidase M),sll0555
0.21036878226977257,0.24201381819837925,0.869242854956872,9,0.40729779564701385,0.6024555227478728,NA,0.025000000000000022,P73039,no,slr1762,NA,Slr1762 protein,slr1762
-0.07849754377914744,0.1709307447242768,-0.45923595492296865,9,0.6569550649182181,0.7986870520797674,NA,0.11764705882352944,P73040,no,slr1763,NA,Slr1763 protein,slr1763
-0.6754336893640792,0.25452133050516207,-2.6537409969667767,9,0.026314350714864876,0.10448487146232585,NA,0,P73041,no,sll1642,NA,Sll1642 protein,sll1642
-0.6470749431909718,0.28158613904596097,-2.297964471487551,9,0.04715618707689173,0.15653883366587823,NA,0.025000000000000022,P73043,no,NA,gad,Glutamate decarboxylase (EC 4.1.1.15),sll1641
1.0771749393966719,0.3337484142119807,3.2275057903720943,9,0.010363978801006812,0.05765462757166772,NA,0.3125,P73045,no,slr1767,NA,Slr1767 protein,slr1767
-0.9720281523141208,0.46383446517953414,-2.0956358901399934,9,0.0655810358362392,0.19178021831029948,NA,0.0714285714285714,P73046,no,sll1640,NA,Sll1640 protein,sll1640
-1.3074314213667657,0.2925193332731324,-4.469555590522235,9,0.0015556624656314355,0.01717578354911442,NA,0.0625,P73048,no,sll1638,NA,Sll1638 protein,sll1638
0.3750762940532802,0.41060516739040737,0.9134719283662937,9,0.3848121752125364,0.5831467417086336,NA,0,P73049,no,slr1768,NA,Slr1768 protein,slr1768
0.1804871038331559,0.7591208142777566,0.23775807544530983,8,0.8180448849984263,0.9018080138240421,NA,0.1875,P73050,no,NA,fbp,Ferripyochelin binding protein,sll1636
-0.3780831014081234,0.44173977761676986,-0.8558955307306021,9,0.41426109698562485,0.607770178899588,NA,0.3125,P73054,no,sll1752,NA,Sll1752 protein,sll1752
0.4383330553362888,0.49084069309780937,0.8930250924589551,8,0.39791047219507725,0.5960699142437406,NA,0.1875,P54004,no,slr0199,NA,Putative glutamine amidotransferase slr0199 (EC 2.4.2.-),slr0199
0.18271852582868645,0.26153109141957903,0.6986493454254272,9,0.5024235702523101,0.6813775694487839,NA,0.015625,P73066,no,NA,ycf23,Ycf23 protein,slr2032
0.24184283878080878,0.45176258869378133,0.5353317092503588,9,0.6053937305519508,0.762112875459233,NA,0.0625,P73076,no,sll1942,NA,Sll1942 protein,sll1942
0.10188766575948065,0.35582500074791684,0.2863420657495134,9,0.7810981986306027,0.8814333839795471,NA,0,P73078,no,NA,divK,Cell division response regulator DivK,slr2041
1.376011866845402,0.5139379276494854,2.677389219236347,9,0.025314113120586956,0.10200008669297243,NA,0,P73080,no,sll1940,NA,Sll1940 protein,sll1940
0.019031006273582483,0.5295816867426658,0.035935922162712595,8,0.972213955995479,0.9831172900814095,NA,0.125,P73083,no,sll1938,NA,Sll1938 protein,sll1938
-0.6356266478058273,0.44151514323138985,-1.4396485772917358,9,0.18382721989263429,0.36562693368351157,NA,0.375,P73085,no,NA,zntC,Periplasmic binding protein component of an ABC type zinc uptake transporter,slr2043
0.8591349231635171,0.28065343886801003,3.0611950690102327,9,0.013545422546431318,0.06800996378301015,NA,0,P73091,no,slr2048,NA,Slr2048 protein,slr2048
-1.1021451107500946,0.48152887619568085,-2.2888453117445264,9,0.04786497926548661,0.1581371223366611,NA,0.125,P73094,no,slr2052,NA,Slr2052 protein,slr2052
1.5321359423823848,0.924732844500814,1.6568417046000534,6,0.14862840341381522,0.3174775559133396,NA,0.25,P73096,no,slr2053,NA,Slr2053 protein,slr2053
0.15701744164577106,0.29554443265063945,0.5312820148142666,9,0.6080837931637302,0.7646097201663637,NA,0.02083333333333337,P73103,no,slr1908,NA,Slr1908 protein,slr1908
-1.068173607330769,0.18956418938962663,-5.634891330320124,9,3.196974336749925e-4,0.006794420996147534,NA,0.028846153846153855,P54123,no,slr0551,rnj,Ribonuclease J (RNase J) (EC 3.1.-.-),slr0551
-0.4874953067388303,0.23679183233368875,-2.058750514890431,9,0.06962082662851254,0.1995489653299353,NA,0,P73104,no,slr1909,NA,NarL subfamily,slr1909
-0.978865512063329,0.5638795411290525,-1.7359479120369443,9,0.11659110827661845,0.2727601711465971,NA,0,P73106,no,slr1911,NA,Slr1911 protein,slr1911
-0.045710586280020546,0.34354549522848404,-0.13305540871557495,9,0.8970770542808695,0.9478880593084968,NA,0.02083333333333337,P73107,no,sll1837,NA,Sll1837 protein,sll1837
-0.9776171851814548,0.29953941329239936,-3.2637347267123773,9,0.009780165649088346,0.05584242338951763,NA,0,P73111,no,sll1835,NA,Sll1835 protein,sll1835
-1.139195912834202,0.2879058245450734,-3.956835241642893,9,0.0033201489505132464,0.02774054953247361,NA,0,P73113,no,slr1915,NA,Slr1915 protein,slr1915
0.07437106680908874,0.6120640475995899,0.12150863475931857,9,0.9059578837516729,0.9508736735530776,NA,0.125,P73114,no,slr1916,NA,Esterase,slr1916
1.1479963957575465,0.673435502819991,1.7046864784383151,9,0.12244692970931892,0.28248950521424965,NA,0.25,P73119,no,NA,glcF,Glycolate oxidase iron-sulfur subunit (EC 1.1.99.14),sll1831
0.07866114212788365,0.2638322173796509,0.2981483569714739,9,0.7723583810059544,0.8776252158743505,NA,0.015625,P73120,no,sll1830,NA,Sll1830 protein,sll1830
-2.478642285433286,0.7193234789701881,-3.4457964433217283,8,0.008748783226224521,0.05215528072052304,NA,0.375,P54147,no,sll0108,NA,Putative ammonium transporter sll0108,sll0108
0.11332560056349701,0.14215962502208324,0.7971714932836442,9,0.44587181380354,0.6347806612308294,NA,0.05500000000000005,P73128,no,NA,sqdB,Sulfolipid biosynthesis protein SqdB,slr1020
-0.2035756712593737,0.41295412174411944,-0.4929740630740482,9,0.6338348441188784,0.7842504310474978,NA,0,P73129,no,ssr1698,NA,Ssr1698 protein,ssr1698
