log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,Entry,ambig,gene_names_ordered_locus,gene_names_primary,Protein.names,locus_tag
1.953892064059979,0.2870764150347891,6.806174111597424,9,7.850605031567426e-5,0.02132420591699502,NA,0.23809523809523814,DCAS9,no,NA,NA,NA,NA
0.6016484169190713,0.35334505202992467,1.7027220657617075,9,0.1228237510433896,0.3873672148291518,NA,0,P15729,no,sll0771,gtr,Glucose transport protein,sll0771
0.8235235224443094,0.20015785720269744,4.114370197370454,9,0.0026198613399470716,0.10684862979551531,NA,0.03472222222222221,P52983,no,slr1349,pgi,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI),slr1349
0.37843065309831087,0.3869024558906909,0.978103517660861,9,0.35358072020748144,0.6150931768646545,NA,0,P72891,no,slr1613,NA,Slr1613 protein,slr1613
0.6251703494054318,0.2489970536706881,2.5107540036688665,9,0.03326956993978336,0.25102352596926825,NA,0.09375,P72893,no,NA,rfbE,Perosamine synthetase,slr1615
0.7460337062771738,0.47106989078184003,1.5837006798268791,9,0.14772205042140985,0.420157088436811,NA,0,P72894,no,slr1616,NA,Slr1616 protein,slr1616
0.46639279673681233,0.40528246533131995,1.1507845432087334,9,0.2794769903060019,0.560252829557431,NA,0.1527777777777778,P72895,no,slr1617,NA,Slr1617 protein,slr1617
-0.19775734449147023,0.20592837558424623,-0.9603210044774368,9,0.3619813614318761,0.6224947623423853,NA,0.0892857142857143,P72896,no,slr1618,NA,Slr1618 protein,slr1618
0.21213507023841752,0.25251141525558324,0.8401009119674918,9,0.4226073490144491,0.6698218595247248,NA,0,P72897,no,slr1619,NA,Rhamnosyl O-methyltransferase,slr1619
0.327527742126792,0.2078023403233659,1.57615040146862,9,0.1494451598406994,0.42304654105817485,NA,0,P72899,no,slr1063,NA,Slr1063 protein,slr1063
0.51058764031548165,0.5778382673689147,0.8836168685060493,9,0.39989093496718864,0.6502425252962046,NA,0,P72900,no,NA,rfbU,Mannosyltransferase B,slr1064
1.5309180495607813,1.2803627917754543,1.1956908302824756,9,0.26236936870456873,0.5430228041227758,NA,0,P72901,no,slr1065,NA,Slr1065 protein,slr1065
0.4437190490857066,0.4015640130366547,1.1049771261380537,9,0.2978325531795476,0.5737501223928696,NA,0,P72902,no,slr1066,NA,Slr1066 protein,slr1066
0.29863890242859237,0.4747431757996363,0.6290535970855785,9,0.5449476091506888,0.7602381199600546,NA,0.017857142857142905,P52986,no,sll0455,hom,Homoserine dehydrogenase (HDH) (EC 1.1.1.3),sll0455
0.5415607805803108,0.5089906696942056,1.0639896030032787,9,0.3150460399854047,0.5876352316637635,NA,0.25,P72903,no,NA,galE,UDP-glucose 4-epimerase (EC 5.1.3.2),slr1067
3.287426515551603,1.0665976052562423,3.08216191312545,8,0.015067455155934883,0.19539719832653177,NA,0.25,P72907,no,slr1071,NA,Slr1071 protein,slr1071
-1.3826712498322717,0.6386379849704856,-2.1650313360176523,9,0.05858560052736461,0.29649370038229067,NA,0,P72908,no,NA,yefA,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47)",slr1072
0.8786161623161886,0.8904336984209776,0.9867283368478245,9,0.349558680933979,0.6101132639915955,NA,0,P72909,no,slr1073,NA,Slr1073 protein,slr1073
0.144540225873434,0.2665040194278746,0.5423566450657292,9,0.600742220006599,0.7873418842426657,NA,0,P72911,no,slr1076,NA,Slr1076 protein,slr1076
-0.07384511543733524,0.5434952696237916,-0.1358707601787426,9,0.8949139606972469,0.9527917866708072,NA,0,P72912,no,slr1077,NA,Slr1077 protein,slr1077
0.5287436107234906,0.3988003520111068,1.3258353661351954,9,0.21755794972341214,0.5067024916923628,NA,0,P72917,no,ssr1768,NA,Ssr1768 protein,ssr1768
1.1246081197448075,0.4855657034656308,2.3160781573289375,9,0.045778776218782014,0.27328923275663,NA,0.25,P72920,no,slr1083,NA,Slr1083 protein,slr1083
1.2217353088791332,0.35131287795965443,3.4776274526988447,9,0.006964541223487775,0.16336984000665308,NA,0.16666666666666663,P72923,no,slr1087,NA,Slr1087 protein,slr1087
1.2013222610941408,0.36535743655199165,3.288073926813827,9,0.009407221543852984,0.16909600367528604,NA,0.3125,P72924,no,sll1025,NA,Sll1025 protein,sll1025
0.2933704583792623,0.26090588402344317,1.124430211596539,9,0.28992464908291815,0.5703968195130938,NA,0,P52997,no,slr0526,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT),slr0526
0.19397866481366152,0.28475490112028917,0.681212734356832,9,0.5128815246987286,0.7355139880260738,NA,0.015625,P72927,no,NA,sucC,Succinate--CoA ligase,sll1023
0.31690781398318213,0.32489068097266416,0.9754290675079299,9,0.3548348540695152,0.6158595350583519,NA,0,P72930,no,sll1020,NA,Sll1020 protein,sll1020
0.5631790200693517,0.3573836698429114,1.5758387066675374,9,0.1495166790302247,0.42304654105817485,NA,0,P72932,no,NA,hliA,High light inducible protein,ssr1789
0.30508295362353616,0.2952545394261899,1.0332879359499338,9,0.32843510663396835,0.5957341291449193,NA,0.1015625,P72937,no,slr0670,NA,Slr0670 protein,slr0670
