Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage	Entry	ambig	gene_names_ordered_locus	gene_names_primary	Gene names  (synonym )	Protein names	Function [CC]	Catalytic activity	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology (biological process)	Gene ontology (cellular component)	Subcellular location [CC]	Pathway	Cofactor	Subunit structure [CC]	EC number	Length	Activity regulation	Kinetics	Miscellaneous [CC]	Status	Protein existence	Proteomes	Sign
p_1	lowco2_4	3.4303435416131114	0.28707641503478903	11.949234983993405	9	7.982964245201174e-7	5.697175482991904e-4	NA	0.22023809523809523	0.22023809523809523	DCAS9	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sign
p_1	lowco2_8	1.953892064059979	0.2870764150347891	6.806174111597424	9	7.850605031567426e-5	0.02132420591699502	NA	0.23809523809523814	0.23809523809523808	DCAS9	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sign
p_10	lowco2_4	0.9476106758967078	0.3533450520299246	2.681828061417017	9	0.025130691376304526	0.07845732060834744	NA	0	0	P15729	no	sll0771	gtr	glcP	Glucose transport protein	NA	NA	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; carbohydrate transport [GO:0008643]	carbohydrate:proton symporter activity [GO:0005351]	carbohydrate transport [GO:0008643]	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	NA	NA	NA	NA	468	NA	NA	NA	reviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_10	lowco2_8	0.6016484169190713	0.35334505202992467	1.7027220657617075	9	0.1228237510433896	0.3873672148291518	NA	0	0	P15729	no	sll0771	gtr	glcP	Glucose transport protein	NA	NA	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; carbohydrate transport [GO:0008643]	carbohydrate:proton symporter activity [GO:0005351]	carbohydrate transport [GO:0008643]	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	NA	NA	NA	NA	468	NA	NA	NA	reviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_100	lowco2_4	0.6182162362121438	0.2001578572026974	3.0886433580575545	9	0.012957823178999517	0.05380504105884139	NA	0.07291666666666663	0.07291666666666667	P52983	no	slr1349	pgi	NA	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	FUNCTION: Catalyzes the reversible isomerization of glucose-6-phosphate to fructose-6-phosphate. {ECO:0000255|HAMAP-Rule:MF_00473}.	CATALYTIC ACTIVITY: Reaction=alpha-D-glucose 6-phosphate = beta-D-fructose 6-phosphate; Xref=Rhea:RHEA:11816, ChEBI:CHEBI:57634, ChEBI:CHEBI:58225; EC=5.3.1.9; Evidence={ECO:0000255|HAMAP-Rule:MF_00473};	cytosol [GO:0005829]; glucose-6-phosphate isomerase activity [GO:0004347]; monosaccharide binding [GO:0048029]; gluconeogenesis [GO:0006094]; glucose 6-phosphate metabolic process [GO:0051156]; glycolytic process [GO:0006096]	glucose-6-phosphate isomerase activity [GO:0004347]; monosaccharide binding [GO:0048029]	gluconeogenesis [GO:0006094]; glucose 6-phosphate metabolic process [GO:0051156]; glycolytic process [GO:0006096]	cytosol [GO:0005829]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00473}.	PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000255|HAMAP-Rule:MF_00473}.; PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 2/4. {ECO:0000255|HAMAP-Rule:MF_00473}.	NA	NA	5.3.1.9	531	NA	NA	NA	reviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_100	lowco2_8	0.8235235224443094	0.20015785720269744	4.114370197370454	9	0.0026198613399470716	0.10684862979551531	NA	0.03472222222222221	0.034722222222222224	P52983	no	slr1349	pgi	NA	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	FUNCTION: Catalyzes the reversible isomerization of glucose-6-phosphate to fructose-6-phosphate. {ECO:0000255|HAMAP-Rule:MF_00473}.	CATALYTIC ACTIVITY: Reaction=alpha-D-glucose 6-phosphate = beta-D-fructose 6-phosphate; Xref=Rhea:RHEA:11816, ChEBI:CHEBI:57634, ChEBI:CHEBI:58225; EC=5.3.1.9; Evidence={ECO:0000255|HAMAP-Rule:MF_00473};	cytosol [GO:0005829]; glucose-6-phosphate isomerase activity [GO:0004347]; monosaccharide binding [GO:0048029]; gluconeogenesis [GO:0006094]; glucose 6-phosphate metabolic process [GO:0051156]; glycolytic process [GO:0006096]	glucose-6-phosphate isomerase activity [GO:0004347]; monosaccharide binding [GO:0048029]	gluconeogenesis [GO:0006094]; glucose 6-phosphate metabolic process [GO:0051156]; glycolytic process [GO:0006096]	cytosol [GO:0005829]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00473}.	PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000255|HAMAP-Rule:MF_00473}.; PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 2/4. {ECO:0000255|HAMAP-Rule:MF_00473}.	NA	NA	5.3.1.9	531	NA	NA	NA	reviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1000	lowco2_4	-0.8775081366774935	0.3869024558906908	-2.2680345480293633	9	0.04952193509142777	0.12285801046436484	NA	0	0	P72891	no	slr1613	NA	NA	Slr1613 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	196	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1000	lowco2_8	0.37843065309831087	0.3869024558906909	0.978103517660861	9	0.35358072020748144	0.6150931768646545	NA	0	0	P72891	no	slr1613	NA	NA	Slr1613 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	196	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1001	lowco2_4	0.23083566942341383	0.24899705367068806	0.9270618508149352	9	0.3780849689667698	0.5162499480598559	NA	0.15625	0.15625	P72893	no	NA	rfbE	NA	Perosamine synthetase	NA	NA	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; polysaccharide biosynthetic process [GO:0000271]	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	polysaccharide biosynthetic process [GO:0000271]	NA	NA	NA	NA	NA	NA	378	NA	NA	NA	unreviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1001	lowco2_8	0.6251703494054318	0.2489970536706881	2.5107540036688665	9	0.03326956993978336	0.25102352596926825	NA	0.09375	0.09375	P72893	no	NA	rfbE	NA	Perosamine synthetase	NA	NA	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; polysaccharide biosynthetic process [GO:0000271]	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	polysaccharide biosynthetic process [GO:0000271]	NA	NA	NA	NA	NA	NA	378	NA	NA	NA	unreviewed	Inferred from homology	UP000001425: Chromosome	Unsign
