Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage	Entry	ambig	gene_names_ordered_locus	gene_names_primary	Gene names  (synonym )	Protein names	Function [CC]	Catalytic activity	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology (biological process)	Gene ontology (cellular component)	Subcellular location [CC]	Pathway	Cofactor	Subunit structure [CC]	EC number	Length	Activity regulation	Kinetics	Miscellaneous [CC]	Status	Protein existence	Proteomes	Sign
p_1	highco2_4	2.5101773441490556	0.2444332367299945	10.269378165301816	9	2.866766512177321e-6	2.5550713604186373e-4	NA	0.22560975609756095	0.22560975609756098	DCAS9	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sign
p_1	highco2_8	2.4593041123723287	0.24443323672999456	10.061250856359282	9	3.4008314067079937e-6	2.930156340019607e-4	NA	0.24390243902439024	0.24390243902439024	DCAS9	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sign
p_10	highco2_4	-0.5893765449928569	0.3808098244331032	-1.5476925939876653	9	0.1561021940489684	0.3279661630310366	NA	0	0	P15729	no	sll0771	gtr	glcP	Glucose transport protein	NA	NA	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; carbohydrate transport [GO:0008643]	carbohydrate:proton symporter activity [GO:0005351]	carbohydrate transport [GO:0008643]	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	NA	NA	NA	NA	468	NA	NA	NA	reviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_10	highco2_8	-0.5379965616724408	0.3808098244331033	-1.4127696481395544	9	0.1913583562624268	0.3481299825922866	NA	0	0	P15729	no	sll0771	gtr	glcP	Glucose transport protein	NA	NA	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; carbohydrate transport [GO:0008643]	carbohydrate:proton symporter activity [GO:0005351]	carbohydrate transport [GO:0008643]	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	NA	NA	NA	NA	468	NA	NA	NA	reviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_100	highco2_4	0.07063335024173795	0.2729760906772043	0.25875288222682574	9	0.8016465561344817	0.8922417073990887	NA	0.05555555555555558	0.05555555555555555	P52983	no	slr1349	pgi	NA	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	FUNCTION: Catalyzes the reversible isomerization of glucose-6-phosphate to fructose-6-phosphate. {ECO:0000255|HAMAP-Rule:MF_00473}.	CATALYTIC ACTIVITY: Reaction=alpha-D-glucose 6-phosphate = beta-D-fructose 6-phosphate; Xref=Rhea:RHEA:11816, ChEBI:CHEBI:57634, ChEBI:CHEBI:58225; EC=5.3.1.9; Evidence={ECO:0000255|HAMAP-Rule:MF_00473};	cytosol [GO:0005829]; glucose-6-phosphate isomerase activity [GO:0004347]; monosaccharide binding [GO:0048029]; gluconeogenesis [GO:0006094]; glucose 6-phosphate metabolic process [GO:0051156]; glycolytic process [GO:0006096]	glucose-6-phosphate isomerase activity [GO:0004347]; monosaccharide binding [GO:0048029]	gluconeogenesis [GO:0006094]; glucose 6-phosphate metabolic process [GO:0051156]; glycolytic process [GO:0006096]	cytosol [GO:0005829]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00473}.	PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000255|HAMAP-Rule:MF_00473}.; PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 2/4. {ECO:0000255|HAMAP-Rule:MF_00473}.	NA	NA	5.3.1.9	531	NA	NA	NA	reviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_100	highco2_8	-0.3434835502095454	0.27297609067720435	-1.258291703707181	9	0.23994825951847432	0.40568960047315045	NA	0.07291666666666663	0.07291666666666667	P52983	no	slr1349	pgi	NA	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	FUNCTION: Catalyzes the reversible isomerization of glucose-6-phosphate to fructose-6-phosphate. {ECO:0000255|HAMAP-Rule:MF_00473}.	CATALYTIC ACTIVITY: Reaction=alpha-D-glucose 6-phosphate = beta-D-fructose 6-phosphate; Xref=Rhea:RHEA:11816, ChEBI:CHEBI:57634, ChEBI:CHEBI:58225; EC=5.3.1.9; Evidence={ECO:0000255|HAMAP-Rule:MF_00473};	cytosol [GO:0005829]; glucose-6-phosphate isomerase activity [GO:0004347]; monosaccharide binding [GO:0048029]; gluconeogenesis [GO:0006094]; glucose 6-phosphate metabolic process [GO:0051156]; glycolytic process [GO:0006096]	glucose-6-phosphate isomerase activity [GO:0004347]; monosaccharide binding [GO:0048029]	gluconeogenesis [GO:0006094]; glucose 6-phosphate metabolic process [GO:0051156]; glycolytic process [GO:0006096]	cytosol [GO:0005829]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00473}.	PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000255|HAMAP-Rule:MF_00473}.; PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 2/4. {ECO:0000255|HAMAP-Rule:MF_00473}.	NA	NA	5.3.1.9	531	NA	NA	NA	reviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1000	highco2_4	-0.09195705128516464	0.17040340198800064	-0.5396432830116855	9	0.6025366059699082	0.7602852567457035	NA	0.025000000000000022	0.025	P72897	no	slr1619	NA	NA	Rhamnosyl O-methyltransferase	FUNCTION: Catalyzes the O-methylation of the hydroxyl group located on C-2 of the first rhamnosyl residue linked to the phenolic group of glycosylated phenolphthiocerol dimycocerosates (PGL) and p-hydroxybenzoic acid derivatives (p-HBAD). {ECO:0000256|ARBA:ARBA00003116}.	NA	methyltransferase activity [GO:0008168]; chondroitin sulfate biosynthetic process [GO:0030206]; DIM/DIP cell wall layer assembly [GO:0071770]; lipid biosynthetic process [GO:0008610]	methyltransferase activity [GO:0008168]	chondroitin sulfate biosynthetic process [GO:0030206]; DIM/DIP cell wall layer assembly [GO:0071770]; lipid biosynthetic process [GO:0008610]	NA	NA	NA	NA	NA	NA	249	NA	NA	NA	unreviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1000	highco2_8	-0.8021330238833981	0.17040340198800066	-4.707259447436866	9	0.0011087802099791766	0.012118359310947076	NA	0.07499999999999996	0.075	P72897	no	slr1619	NA	NA	Rhamnosyl O-methyltransferase	FUNCTION: Catalyzes the O-methylation of the hydroxyl group located on C-2 of the first rhamnosyl residue linked to the phenolic group of glycosylated phenolphthiocerol dimycocerosates (PGL) and p-hydroxybenzoic acid derivatives (p-HBAD). {ECO:0000256|ARBA:ARBA00003116}.	NA	methyltransferase activity [GO:0008168]; chondroitin sulfate biosynthetic process [GO:0030206]; DIM/DIP cell wall layer assembly [GO:0071770]; lipid biosynthetic process [GO:0008610]	methyltransferase activity [GO:0008168]	chondroitin sulfate biosynthetic process [GO:0030206]; DIM/DIP cell wall layer assembly [GO:0071770]; lipid biosynthetic process [GO:0008610]	NA	NA	NA	NA	NA	NA	249	NA	NA	NA	unreviewed	Inferred from homology	UP000001425: Chromosome	Sign
p_1001	highco2_4	-0.3027914051966899	0.20173248637620037	-1.500955104633123	9	0.16760792511395017	0.3441210151295903	NA	0.0625	0.0625	P72899	no	slr1063	NA	NA	Slr1063 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	689	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1001	highco2_8	-0.14229753246120985	0.20173248637620042	-0.7053773788116932	9	0.4984238990429861	0.6498820088006005	NA	0	0	P72899	no	slr1063	NA	NA	Slr1063 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	689	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
